phase_order,off_source_dir,on_source_dir,off_server_enable_prefix_caching_observed,on_server_enable_prefix_caching_observed,off_latest_prefix_cache_hit_rate_pct,on_latest_prefix_cache_hit_rate_pct,cache_on_minus_off_prefix_cache_hit_rate_pct,off_throughput_ratio,on_throughput_ratio,cache_on_minus_off_throughput_ratio,cache_on_div_off_throughput_ratio,off_latency_ratio,on_latency_ratio,cache_on_minus_off_latency_ratio,cache_on_div_off_latency_ratio,off_tpot_ratio,on_tpot_ratio,cache_on_minus_off_tpot_ratio
async_first,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-off-smoke-r2,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-on-smoke-r2,False,True,0.0,48.4,48.4,0.951000943431193,10.74365382403273,9.792652880601537,11.297206273287001,1.057006006511346,0.09430135015664187,-0.9627046563547041,0.0892155291225676,0.5090436369329658,0.0162314770174175,-0.49281215991554833
server_first,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-off-server-first-smoke-r2,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-on-server-first-smoke-r2,False,True,0.0,65.5,65.5,0.9763164250835397,12.087320157202834,11.111003732119293,12.380535497155616,1.0300900489155103,0.0847161304597886,-0.9453739184557217,0.0822414802948331,0.48659126329771674,0.019636453923223232,-0.4669548093744935
