pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,isolation_call_index,isolation_phase_order,isolation_warmup_runs,isolation_warmup_prompt_profile
shared_prefix_long_out8_n2_isolated_rep00,shared_prefix_long_out8_n2,shared_prefix_long,2,8,0,0,0,580.5,1177,1177,13.053702371061302,52.897890068799214,39.84418769773791,4.0523284938737625,94.57748399998422,90.28377399999954,-4.293709999984685,0.9546011395271902,1225.302357000004,301.8509599999959,-923.451397000008,0.24634814278741726,165.0150197142872,34.24875371428828,-130.76626599999892,0.2075493114116992,1225.7058989999905,302.46953100001406,-923.2363679999764,0.2467717021242927,0.0,28.1,28.1,0.0,0.0,0.0,0,cold_first,1,neutral_long
shared_prefix_long_out8_n4_isolated_rep00,shared_prefix_long_out8_n4,shared_prefix_long,4,8,0,0,0,580.5,2354,2354,129.31025738987367,133.0273040204558,3.717046630582132,1.028745180046894,95.84885600000348,82.59361199998239,-13.255244000021094,0.8617068105641176,246.7622969999752,240.1105050000183,-6.651791999956913,0.973043726368143,24.963588999997096,23.130521142856455,-1.833067857140641,0.9265703398200934,247.46683400002212,240.55211999996118,-6.91471400006094,0.9720580172773362,0.0,41.4,41.4,0.0,0.0,0.0,1,cold_first,1,neutral_long
shared_prefix_long_out8_n8_isolated_rep00,shared_prefix_long_out8_n8,shared_prefix_long,8,8,0,0,0,579.5,4700,4700,145.1913198612782,181.36896078695654,36.17764092567833,1.249172202306887,134.64015200003132,171.41337600003226,36.77322400000094,1.2731222703907255,432.62059100004535,351.2229140000045,-81.39767700004086,0.8118497392556326,47.62969999999963,29.164950428578,-18.46474957142163,0.6123269814543914,440.7977009999513,352.87184600002774,-87.92585499992356,0.8005301416035896,0.0,48.1,48.1,0.0,0.0,0.0,2,cold_first,1,neutral_long
matched_unique_prefix_out8_n2_isolated_rep00,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,0,0,0,596.5,1209,1209,44.7401682571434,55.064221711519686,10.324053454376283,1.230755803041217,97.67223000000058,78.26823899995361,-19.40399100004697,0.8013356406416967,356.8731370000364,290.2954280000358,-66.5777090000006,0.8134415227784606,40.58156971428519,32.590206285720214,-7.9913634285649735,0.8030789965782935,357.62047000002894,290.56980199999316,-67.05066800003578,0.8125088644952836,0.0,2.2,2.2,0.0,0.0,0.0,3,cold_first,1,neutral_long
matched_unique_prefix_out8_n4_isolated_rep00,matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,0,0,0,596.5,2418,2418,52.47264474357546,105.73998714937706,53.2673424058016,2.0151449896628937,426.99181299997235,128.97096300002886,-298.0208499999435,0.30204551720535494,608.9427619999697,301.5794379999761,-307.36332399999355,0.4952508787681282,29.423475714289843,27.910316714285596,-1.5131590000042472,0.9485730708806314,609.8415689999683,302.62912699993194,-307.2124420000364,0.4962422084414315,0.0,2.6,2.6,0.0,0.0,0.0,4,cold_first,1,neutral_long
matched_unique_prefix_out8_n8_isolated_rep00,matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,0,0,0,595.625,4829,4829,170.00053024228578,199.82578189205825,29.82525164977247,1.1754421095467487,152.50718699996924,136.93972400005805,-15.567462999911186,0.89792308607781,374.58595700002206,318.7734639999462,-55.81249300007585,0.8510021746488682,36.650583714293006,33.334872428570506,-3.3157112857225,0.9095318286996494,376.4694139999847,320.27899199999865,-56.19042199998603,0.850743726022884,0.0,2.8,2.8,0.0,0.0,0.0,5,cold_first,1,neutral_long
