request_count,max_new_tokens,shared_profile,control_profile,shared_scenario_id,control_scenario_id,shared_prompt_tokens_mean,control_prompt_tokens_mean,shared_to_control_prompt_tokens_mean_ratio,shared_cache_to_cold_output_tokens_per_second_ratio_median,control_cache_to_cold_output_tokens_per_second_ratio_median,shared_minus_control_cache_to_cold_output_tokens_per_second_ratio_median,shared_cache_to_cold_p95_first_event_ms_ratio_median,control_cache_to_cold_p95_first_event_ms_ratio_median,shared_minus_control_cache_to_cold_p95_first_event_ms_ratio_median,shared_cache_to_cold_p95_latency_ms_ratio_median,control_cache_to_cold_p95_latency_ms_ratio_median,shared_minus_control_cache_to_cold_p95_latency_ms_ratio_median,shared_cache_to_cold_p95_stream_tpot_ms_ratio_median,control_cache_to_cold_p95_stream_tpot_ms_ratio_median,shared_minus_control_cache_to_cold_p95_stream_tpot_ms_ratio_median,shared_cache_to_cold_batch_wall_ms_ratio_median,control_cache_to_cold_batch_wall_ms_ratio_median,shared_minus_control_cache_to_cold_batch_wall_ms_ratio_median,shared_cold_prefix_cache_hit_rate_pct_median,control_cold_prefix_cache_hit_rate_pct_median,shared_minus_control_cold_prefix_cache_hit_rate_pct_median,shared_cache_prefix_cache_hit_rate_pct_median,control_cache_prefix_cache_hit_rate_pct_median,shared_minus_control_cache_prefix_cache_hit_rate_pct_median,shared_cache_to_cold_prefix_cache_hit_rate_pct_delta_median,control_cache_to_cold_prefix_cache_hit_rate_pct_delta_median,shared_minus_control_cache_to_cold_prefix_cache_hit_rate_pct_delta_median,shared_cold_gpu_kv_cache_usage_pct_median,control_cold_gpu_kv_cache_usage_pct_median,shared_minus_control_cold_gpu_kv_cache_usage_pct_median,shared_cache_gpu_kv_cache_usage_pct_median,control_cache_gpu_kv_cache_usage_pct_median,shared_minus_control_cache_gpu_kv_cache_usage_pct_median,shared_cache_to_cold_gpu_kv_cache_usage_pct_delta_median,control_cache_to_cold_gpu_kv_cache_usage_pct_delta_median,shared_minus_control_cache_to_cold_gpu_kv_cache_usage_pct_delta_median
2,8,shared_prefix_long,matched_unique_prefix,shared_prefix_long_out8_n2,matched_unique_prefix_out8_n2,580.5,596.5,0.9731768650461022,4.0523284938737625,1.230755803041217,2.8215726908325456,0.9546011395271902,0.8013356406416967,0.15326549888549346,0.24634814278741726,0.8134415227784606,-0.5670933799910434,0.2075493114116992,0.8030789965782935,-0.5955296851665943,0.2467717021242927,0.8125088644952836,-0.5657371623709909,0.0,0.0,0.0,28.1,2.2,25.900000000000002,28.1,2.2,25.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,shared_prefix_long,matched_unique_prefix,shared_prefix_long_out8_n4,matched_unique_prefix_out8_n4,580.5,596.5,0.9731768650461022,1.028745180046894,2.0151449896628937,-0.9863998096159996,0.8617068105641176,0.30204551720535494,0.5596612933587626,0.973043726368143,0.4952508787681282,0.4777928476000148,0.9265703398200934,0.9485730708806314,-0.02200273106053796,0.9720580172773362,0.4962422084414315,0.4758158088359047,0.0,0.0,0.0,41.4,2.6,38.8,41.4,2.6,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,shared_prefix_long,matched_unique_prefix,shared_prefix_long_out8_n8,matched_unique_prefix_out8_n8,579.5,595.625,0.9729275970619098,1.249172202306887,1.1754421095467487,0.07373009276013831,1.2731222703907255,0.89792308607781,0.37519918431291543,0.8118497392556326,0.8510021746488682,-0.03915243539323554,0.6123269814543914,0.9095318286996494,-0.2972048472452581,0.8005301416035896,0.850743726022884,-0.050213584419294355,0.0,0.0,0.0,48.1,2.8,45.300000000000004,48.1,2.8,45.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
