pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio
shared_prefix_out32_n1_rep00,shared_prefix_out32_n1,shared_prefix,1,32,0,10,10,226.0,258,258,31.237758367877614,37.28210491259934,6.044346544721723,1.1934948876145108,61.800941999990755,54.682101000025796,-7.118840999964959,0.8848101538651947,1018.5615729999995,857.987047999984,-160.57452500001546,0.8423516758765299,30.863246161290604,25.913062806450267,-4.950183354840338,0.839609115354529,1024.4012910000038,858.3206359999735,-166.08065500003022,0.8378753946728191
shared_prefix_out32_n1_rep01,shared_prefix_out32_n1,shared_prefix,1,32,1,7,7,226.0,258,258,35.711379979733444,35.595636677514335,-0.11574330221910856,0.9967589238420695,68.78030300003957,63.735097999995105,-5.0452050000444615,0.9266475316335614,892.8058770000007,898.79741499999,5.991537999989305,1.0067109078852863,26.581470129031004,26.937494096774028,0.3560239677430239,1.013393689890545,896.0729050000396,898.9865889999464,2.9136839999068798,1.0032516148894233
shared_prefix_out32_n1_rep02,shared_prefix_out32_n1,shared_prefix,1,32,2,9,9,226.0,258,258,37.488693044076356,36.41363219788615,-1.0750608461902047,0.9713230641322643,66.13759200001823,64.9317929999711,-1.2057990000471364,0.981768326248606,853.3731769999804,878.3789550000165,25.005778000036116,1.0293022779177845,25.39469629032136,26.24023103225953,0.8455347419381702,1.03329572176299,853.5907070000235,878.7917619999916,25.201054999968164,1.0295235817275217
shared_prefix_out32_n2_rep00,shared_prefix_out32_n2,shared_prefix,2,32,0,11,11,226.5,517,517,65.9932866370025,68.65563411819423,2.6623474811917305,1.0403427017635298,90.42989300002091,105.34255200002463,14.912659000003714,1.164908510950027,966.6647779999948,931.5554049999832,-35.1093730000116,0.9636798880035207,29.10264587096699,27.9809506774185,-1.12169519354849,0.9614572778529563,969.7956149999527,932.1886080000468,-37.607006999905934,0.9612217188671164
shared_prefix_out32_n2_rep01,shared_prefix_out32_n2,shared_prefix,2,32,1,2,2,226.5,517,517,58.688850044492355,67.09113747752707,8.402287433034715,1.1431666735106394,125.05109500000344,92.87018800000624,-32.180906999997205,0.7426579351424606,1089.1108960000224,951.3335120000193,-137.77738400000317,0.8734955416330714,31.974641709677687,27.771753064516155,-4.202888645161533,0.8685555671484051,1090.4967459999853,953.9262920000056,-136.5704539999797,0.8747630797607336
shared_prefix_out32_n2_rep02,shared_prefix_out32_n2,shared_prefix,2,32,2,0,0,226.5,517,517,28.40141416871659,58.81540353399615,30.413989365279555,2.0708617952827066,89.70830499998783,128.05895900004316,38.35065400005533,1.4275039418040563,2251.647312999978,1087.2550020000062,-1164.3923109999719,0.48287091664964354,70.55686593548305,33.011124516129314,-37.54574141935373,0.4678655163951666,2253.4089190000373,1088.150316999986,-1165.2586020000513,0.48289074735838833
shared_prefix_out32_n4_rep00,shared_prefix_out32_n4,shared_prefix,4,32,0,1,1,226.5,1034,1034,134.3567863565536,122.49852204096977,-11.858264315583838,0.9117404886113114,123.62656599998445,155.94601699996247,32.31945099997802,1.2614280412834737,950.3529240000148,1042.364809999981,92.01188599996613,1.0968186488159473,27.456853290323856,29.377444225806283,1.9205909354824264,1.069949419009325,952.6872700000126,1044.9105660000555,92.22329600004286,1.0968033256076168
shared_prefix_out32_n4_rep01,shared_prefix_out32_n4,shared_prefix,4,32,1,3,3,226.5,1034,1034,105.58114416316076,122.96742141581623,17.386277252655475,1.1646721807237421,128.59386100001302,103.78835000000208,-24.805511000010938,0.8071019035659219,1211.4577680000025,1040.348323000046,-171.1094449999564,0.8587573999525867,36.57856970967773,31.15714109677473,-5.421428612903,0.8517867522997042,1212.3376860000121,1040.9261130000118,-171.41157300000032,0.8586107031238501
shared_prefix_out32_n4_rep02,shared_prefix_out32_n4,shared_prefix,4,32,2,4,4,226.5,1034,1034,123.86251943908587,131.20408201156147,7.3415625724755955,1.059271865336843,96.68973399999459,109.74673700002313,13.057003000028544,1.1350402205060288,1032.7958119999607,971.9934490000242,-60.80236299993658,0.9411283795949988,30.82732164516015,28.255414193548376,-2.571907451611775,0.9165705188009559,1033.4038139999961,975.5794029999834,-57.82441100001279,0.9440447091285721
shared_prefix_out32_n8_rep00,shared_prefix_out32_n8,shared_prefix,8,32,0,6,6,225.5,2043,2043,248.76350900869093,227.8310904488839,-20.93241855980702,0.9158541433861358,98.13933300000599,172.26511199999095,74.12577899998496,1.755311624137291,960.2379400000132,1042.0714460000227,81.83350600000949,1.0852221127609354,30.176585428571506,29.404682870968433,-0.7719025576030738,0.9744204804274433,960.751843999958,1049.022763000039,88.270919000081,1.09187691863549
