phase_order,prompt_profile,request_count,max_new_tokens,trial_count,gpu_memory_utilization_mean,prompt_tokens_mean,estimated_prompt_tokens,on_server_gpu_kv_cache_size_tokens_mean,estimated_prompt_token_pressure_ratio,on_server_max_concurrency_for_request_mean,max_num_batched_tokens_mean,throughput_ratio_mean,p95_latency_ratio_mean,p95_first_content_ratio_mean,p95_stream_tpot_ratio_mean,on_prefix_cache_hit_rate_pct_mean,on_prefix_cache_queries_mean,on_prefix_cache_hits_mean
async_first,matched_unique_prefix_mega_long_no_repeat_variant,32,8,1,0.325,3591.46875,114927.0,14224.0,8.079794713160855,3.9,60640.0,0.9680299085580332,1.0338382866790714,1.0329728201888628,1.0489080876763275,0.4419324500771556,438076.0,1936.0
async_first,matched_unique_prefix_mega_long_no_repeat_variant,32,8,2,0.35,3586.96875,114783.0,34805.0,3.2978882344490734,9.55,60640.0,0.9945789300883067,1.005657861286773,1.0078353034699896,1.0316444053657123,0.4381612640106153,211794.5,928.0
async_first,matched_unique_prefix_mega_long_no_repeat_variant,32,8,2,0.4,3586.96875,114783.0,76018.0,1.5099450130232313,20.86,60640.0,0.9842295047366263,1.0164786065019724,1.0119560797817149,1.5522554258245973,0.4350712796478253,143425.0,624.0
async_first,matched_unique_prefix_mega_long_no_repeat_variant,32,8,2,0.45,3586.96875,114783.0,117214.5,0.9792559794223411,32.17,60640.0,0.9947430560529918,1.0051218808106472,1.0059243055121243,1.252392792226807,0.43212041908864346,114783.0,496.0
async_first,shared_prefix_mega_long_no_repeat_variant,32,8,1,0.325,3593.46875,114991.0,14181.0,8.10880755941048,3.9,60640.0,12.456044800763996,0.0796703337934589,0.07139389913381831,0.23748619322560652,96.29971041211921,114991.0,110736.0
async_first,shared_prefix_mega_long_no_repeat_variant,32,8,2,0.35,3588.96875,114847.0,34775.5,3.3025262037929,9.57,60640.0,8.466668933349023,0.11871417011081817,0.10541158060471126,0.09102662274925367,96.20439606375295,114847.0,110488.0
async_first,shared_prefix_mega_long_no_repeat_variant,32,8,2,0.4,3588.96875,114847.0,75955.0,1.5120400236982423,20.91,60640.0,8.63847906247011,0.1159605189725724,0.09971029051938803,0.17550847876132036,96.20439606375295,114847.0,110488.0
async_first,shared_prefix_mega_long_no_repeat_variant,32,8,2,0.45,3588.96875,114847.0,117118.0,0.9806093000221998,32.24,60640.0,9.125392679341468,0.10941453432468196,0.09547116344445186,0.045783889588628154,96.20439606375295,114847.0,110488.0
