phase_order,prompt_profile,metric,trial_count,mean,min,max,median,p95,cv,bootstrap_mean_p05,bootstrap_mean_p50,bootstrap_mean_p95
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_output_tokens_per_second,1,-0.9424747314115614,-0.9424747314115614,-0.9424747314115614,-0.9424747314115614,-0.9424747314115614,0.0,-0.9424747314115614,-0.9424747314115614,-0.9424747314115614
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_output_tokens_per_second,1,0.9680299085580332,0.9680299085580332,0.9680299085580332,0.9680299085580332,0.9680299085580332,0.0,0.9680299085580332,0.9680299085580332,0.9680299085580332
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_latency_ms,1,293.18163799999274,293.18163799999274,293.18163799999274,293.18163799999274,293.18163799999274,0.0,293.18163799999274,293.18163799999274,293.18163799999274
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_latency_ms,1,1.0338382866790714,1.0338382866790714,1.0338382866790714,1.0338382866790714,1.0338382866790714,0.0,1.0338382866790714,1.0338382866790714,1.0338382866790714
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_first_content_ms,1,274.7734249999776,274.7734249999776,274.7734249999776,274.7734249999776,274.7734249999776,0.0,274.7734249999776,274.7734249999776,274.7734249999776
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_first_content_ms,1,1.0329728201888628,1.0329728201888628,1.0329728201888628,1.0329728201888628,1.0329728201888628,0.0,1.0329728201888628,1.0329728201888628,1.0329728201888628
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_stream_tpot_ms,1,3.9693635714285307,3.9693635714285307,3.9693635714285307,3.9693635714285307,3.9693635714285307,0.0,3.9693635714285307,3.9693635714285307,3.9693635714285307
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_stream_tpot_ms,1,1.0489080876763275,1.0489080876763275,1.0489080876763275,1.0489080876763275,1.0489080876763275,0.0,1.0489080876763275,1.0489080876763275,1.0489080876763275
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_batch_wall_ms,1,286.7934520000126,286.7934520000126,286.7934520000126,286.7934520000126,286.7934520000126,0.0,286.7934520000126,286.7934520000126,286.7934520000126
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_batch_wall_ms,1,1.0330259335577652,1.0330259335577652,1.0330259335577652,1.0330259335577652,1.0330259335577652,0.0,1.0330259335577652,1.0330259335577652,1.0330259335577652
