scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_content_ms,p95_first_content_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
short_out32_n1,short,1,32,44,44,44.0,44,76,1590.024007000011,32,20.125482294054308,1026.2321710000037,1026.2321710000037,1589.7348620000002,1589.7348620000002,18.17750616129021,18.17750616129021
short_out32_n2,short,2,32,43,44,43.5,87,151,673.0243370000153,64,95.09314371197627,56.915904000021555,76.8842650000181,671.3672520000102,672.8870500000141,19.176870548386844,19.870036967741697
short_out32_n4,short,4,32,43,44,43.25,173,301,663.5398519999853,128,192.90476617823828,97.39129900000876,99.4382220000034,661.4723680000054,663.1087380000054,18.181449096774273,18.806870870967654
short_out32_n8,short,8,32,43,48,45.25,362,618,837.2850239999821,256,305.75012410589284,253.28820000001429,256.55236100001844,833.5639800000081,836.7480080000007,18.718573548386896,19.281860258064764
