scenario_id,prompt_profile,request_count,max_new_tokens,async_repeats,server_repeats,async_prompt_tokens_mean,server_prompt_tokens_mean,async_output_tokens_per_second_median,server_output_tokens_per_second_median,server_to_async_output_tokens_per_second_delta,server_to_async_output_tokens_per_second_ratio,async_p95_first_event_ms_median,server_p95_first_content_ms_median,server_to_async_p95_first_event_ms_delta,server_to_async_p95_first_event_ms_ratio,async_p95_latency_ms_median,server_p95_latency_ms_median,server_to_async_p95_latency_ms_delta,server_to_async_p95_latency_ms_ratio,async_p95_stream_tpot_ms_median,server_p95_stream_tpot_ms_median,server_to_async_p95_stream_tpot_ms_delta,server_to_async_p95_stream_tpot_ms_ratio,async_batch_wall_ms_median,server_batch_wall_ms_median,server_to_async_batch_wall_ms_delta,server_to_async_batch_wall_ms_ratio,async_throughput_cv,server_throughput_cv,async_latency_cv,server_latency_cv
short_out32_n1,short,1,32,3,3,44.0,44.0,44.1182331257561,48.16382462573667,4.045591499980574,1.0916988558551037,43.64130700000146,51.58620800000335,7.944901000001892,1.1820500243038465,725.1098749999869,663.5125269999946,-61.59734799999228,0.9150510148548268,22.061475645161423,19.78877361290371,-2.272702032257712,0.896983226833416,725.3236980000111,664.3990640000084,-60.9246340000027,0.9160035248152036,0.042683870832434696,0.026652352589168277,0.04153868496244705,0.026874796435379166
short_out32_n2,short,2,32,3,3,43.5,43.5,82.01648592623171,92.89827954244227,10.881793616210558,1.132678125541711,80.39607300000284,74.54895399999373,-5.8471190000091156,0.9272710869844487,779.9624499999993,687.936499999978,-92.02595000002134,0.882012332773172,23.31681409677436,20.4539522903219,-2.8628618064524574,0.8772189976482033,780.3309210000009,688.9255680000019,-91.40535299999897,0.8828633461264584,0.08973390853888254,0.23145893715673874,0.09238952646994872,0.2760138416112461
short_out32_n4,short,4,32,3,3,43.25,43.25,172.3208085723118,183.48902137878957,11.168212806477783,1.0648105872935898,75.08794000000307,78.51534400001015,3.4274040000070727,1.045645199482193,742.2761690000073,695.7571069999915,-46.519062000015765,0.9373291721561179,22.17913225806459,20.17845061290348,-2.0006816451611122,0.9097944129697121,742.8006000000096,697.5894200000141,-45.211179999995466,0.9391341633272847,0.0932961584503542,0.028224471478580097,0.09908473298856439,0.028189600357989057
short_out32_n8,short,8,32,3,3,45.25,45.25,328.72737865594183,349.01855342001545,20.291174764073617,1.0617264520133296,86.3787349999825,97.00631800001247,10.627583000029972,1.1230347145050472,778.2908239999813,732.4743470000215,-45.81647699995983,0.9411319321940754,22.961467225806313,21.2962091935477,-1.6652580322586132,0.9274759746020482,778.7608109999837,733.4853620000104,-45.27544899997338,0.9418621887998749,0.052044529042789736,0.08616794057319768,0.0528122848300985,0.09102392255438005
