trial_index,trial_label,compare_json,phase_order,off_source_dir,on_source_dir,off_server_enable_prefix_caching_observed,on_server_enable_prefix_caching_observed,cache_on_minus_off_prefix_cache_hit_rate_pct,cache_on_minus_off_throughput_ratio,cache_on_div_off_throughput_ratio,cache_on_minus_off_latency_ratio,cache_on_div_off_latency_ratio,cache_on_minus_off_tpot_ratio,off_throughput_ratio,on_throughput_ratio,off_latency_ratio,on_latency_ratio,off_latest_prefix_cache_hit_rate_pct,on_latest_prefix_cache_hit_rate_pct
1,modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r1,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r1/cache-control-phase-order-compare.json,async_first,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-off-smoke-r1,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-on-smoke-r1,False,True,74.1,10.498704538226905,12.12076048744996,-0.9766891986997684,0.08250287973480055,-0.48725922079554423,0.9440635422438006,11.442768080470705,1.064514729394965,0.08782553069519657,0.0,74.1
1,modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r1,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r1/cache-control-phase-order-compare.json,server_first,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-off-server-first-smoke-r1,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-on-server-first-smoke-r1,False,True,48.4,11.423096259810542,12.584830736077834,-0.9381037783337584,0.0792419759149014,-0.4751333953549875,0.9860391161552655,12.409135375965807,1.0188385588775022,0.08073478054374388,0.0,48.4
2,modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r2,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r2/cache-control-phase-order-compare.json,async_first,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-off-smoke-r2,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-on-smoke-r2,False,True,48.4,9.792652880601537,11.297206273287001,-0.9627046563547041,0.0892155291225676,-0.49281215991554833,0.951000943431193,10.74365382403273,1.057006006511346,0.09430135015664187,0.0,48.4
2,modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r2,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-control-phase-order-r2/cache-control-phase-order-compare.json,server_first,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-off-server-first-smoke-r2,results/modal-vllm-server-async-qwen15b-l4-n32-batched-tokens60640-server-cache-on-server-first-smoke-r2,False,True,65.5,11.111003732119293,12.380535497155616,-0.9453739184557217,0.0822414802948331,-0.4669548093744935,0.9763164250835397,12.087320157202834,1.0300900489155103,0.0847161304597886,0.0,65.5
