phase_order,metric,trial_count,mean,min,max,median,p95,cv,bootstrap_mean_p05,bootstrap_mean_p50,bootstrap_mean_p95
async_first,cache_on_minus_off_prefix_cache_hit_rate_pct,2,61.25,48.4,74.1,48.4,74.1,0.2097959183673469,48.4,61.25,74.1
async_first,cache_on_minus_off_throughput_ratio,2,10.14567870941422,9.792652880601537,10.498704538226905,9.792652880601537,10.498704538226905,0.034795683849628486,9.792652880601537,10.14567870941422,10.498704538226905
async_first,cache_on_div_off_throughput_ratio,2,11.70898338036848,11.297206273287001,12.12076048744996,11.297206273287001,12.12076048744996,0.035167622474541506,11.297206273287001,11.70898338036848,12.12076048744996
async_first,cache_on_minus_off_latency_ratio,2,-0.9696969275272362,-0.9766891986997684,-0.9627046563547041,-0.9766891986997684,-0.9627046563547041,0.007210779960252844,-0.9766891986997684,-0.9696969275272362,-0.9627046563547041
async_first,cache_on_div_off_latency_ratio,2,0.08585920442868408,0.08250287973480055,0.0892155291225676,0.08250287973480055,0.0892155291225676,0.03909102950833109,0.08250287973480055,0.08585920442868408,0.0892155291225676
async_first,cache_on_minus_off_tpot_ratio,2,-0.4900356903555463,-0.49281215991554833,-0.48725922079554423,-0.49281215991554833,-0.48725922079554423,0.005665851721917593,-0.49281215991554833,-0.4900356903555463,-0.48725922079554423
async_first,off_throughput_ratio,2,0.9475322428374968,0.9440635422438006,0.951000943431193,0.9440635422438006,0.951000943431193,0.0036607731503771972,0.9440635422438006,0.9475322428374968,0.951000943431193
async_first,on_throughput_ratio,2,11.093210952251717,10.74365382403273,11.442768080470705,10.74365382403273,11.442768080470705,0.03151090605989366,10.74365382403273,11.093210952251717,11.442768080470705
async_first,off_latency_ratio,2,1.0607603679531556,1.057006006511346,1.064514729394965,1.057006006511346,1.064514729394965,0.0035393115686004908,1.057006006511346,1.0607603679531556,1.064514729394965
async_first,on_latency_ratio,2,0.09106344042591921,0.08782553069519657,0.09430135015664187,0.08782553069519657,0.09430135015664187,0.03555663739013591,0.08782553069519657,0.09106344042591921,0.09430135015664187
async_first,off_latest_prefix_cache_hit_rate_pct,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
async_first,on_latest_prefix_cache_hit_rate_pct,2,61.25,48.4,74.1,48.4,74.1,0.2097959183673469,48.4,61.25,74.1
server_first,cache_on_minus_off_prefix_cache_hit_rate_pct,2,56.95,48.4,65.5,48.4,65.5,0.15013169446883232,48.4,56.95,65.5
server_first,cache_on_minus_off_throughput_ratio,2,11.267049995964918,11.111003732119293,11.423096259810542,11.111003732119293,11.423096259810542,0.013849788888973548,11.111003732119293,11.267049995964918,11.423096259810542
server_first,cache_on_div_off_throughput_ratio,2,12.482683116616725,12.380535497155616,12.584830736077834,12.380535497155616,12.584830736077834,0.008183146083804013,12.380535497155616,12.482683116616725,12.584830736077834
server_first,cache_on_minus_off_latency_ratio,2,-0.94173884839474,-0.9453739184557217,-0.9381037783337584,-0.9453739184557217,-0.9381037783337584,0.003859955514395434,-0.9453739184557217,-0.94173884839474,-0.9381037783337584
server_first,cache_on_div_off_latency_ratio,2,0.08074172810486724,0.0792419759149014,0.0822414802948331,0.0792419759149014,0.0822414802948331,0.018574685298015578,0.0792419759149014,0.08074172810486724,0.0822414802948331
server_first,cache_on_minus_off_tpot_ratio,2,-0.4710441023647405,-0.4751333953549875,-0.4669548093744935,-0.4751333953549875,-0.4669548093744935,0.008681337840167998,-0.4751333953549875,-0.4710441023647405,-0.4669548093744935
server_first,off_throughput_ratio,2,0.9811777706194026,0.9763164250835397,0.9860391161552655,0.9763164250835397,0.9860391161552655,0.004954602194864273,0.9763164250835397,0.9811777706194026,0.9860391161552655
server_first,on_throughput_ratio,2,12.248227766584321,12.087320157202834,12.409135375965807,12.087320157202834,12.409135375965807,0.013137215640329247,12.087320157202834,12.248227766584321,12.409135375965807
server_first,off_latency_ratio,2,1.0244643038965062,1.0188385588775022,1.0300900489155103,1.0188385588775022,1.0300900489155103,0.005491401699021386,1.0188385588775022,1.0244643038965062,1.0300900489155103
server_first,on_latency_ratio,2,0.08272545550176624,0.08073478054374388,0.0847161304597886,0.08073478054374388,0.0847161304597886,0.02406363248105486,0.08073478054374388,0.08272545550176624,0.0847161304597886
server_first,off_latest_prefix_cache_hit_rate_pct,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
server_first,on_latest_prefix_cache_hit_rate_pct,2,56.95,48.4,65.5,48.4,65.5,0.15013169446883232,48.4,56.95,65.5
