pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta
matched_unique_prefix_out8_n2_rep00,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,0,0,0,596.5,1209,1209,65.06372290189604,11.996272515204934,-53.06745038669111,0.18437728399423248,68.20274999998333,68.61226900002748,0.4095190000441562,1.006004435305677,245.58238500000584,1333.3879939999917,1087.805608999986,5.429493625937218,27.94144828571429,183.31139442857338,155.36994614285908,6.560554505053897,245.91276500001413,1333.7476270000082,1087.834861999994,5.423661626511871,0.0,69.3,69.3,0.0,0.0,0.0
matched_unique_prefix_out8_n2_rep01,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,1,5,5,596.5,1209,1209,83.13189133828352,77.18060001366163,-5.9512913246218915,0.9284114528273552,66.54391500001111,69.37847700001498,2.8345620000038707,1.0425968625381208,192.220457000019,207.0547989999909,14.834341999971912,1.077173586159825,19.86964414285808,22.363176428569886,2.493532285711808,1.1254945618443841,192.46524700000123,207.30598099999042,14.840733999989197,1.077108642891717,0.0,83.3,83.3,0.0,0.0,0.0
matched_unique_prefix_out8_n4_rep00,matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,0,10,10,596.5,2418,2418,167.44311784611367,161.7244246834147,-5.718693162698969,0.9658469500791627,67.01410100001226,69.19199000000731,2.177888999995048,1.0324989661503428,190.8036649999758,197.56781600000295,6.764151000027141,1.0354508441964572,20.264473428568408,21.034604285712735,0.770130857144327,1.0380039905729115,191.1096759999964,197.86745300001485,6.75777700001845,1.0353607265809952,0.0,87.5,87.5,0.0,0.0,0.0
matched_unique_prefix_out8_n4_rep01,matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,1,1,1,596.5,2418,2418,158.27409381304983,41.68400362995862,-116.5900901830912,0.2633659282181386,74.96470499998509,599.5783259999996,524.6136210000145,7.998141605441106,201.856872999997,767.3016699999948,565.4447969999978,3.801216468859132,21.23740457143088,26.054435714286228,4.817031142855349,1.226818259578449,202.18090800000255,767.6805779999825,565.4996699999799,3.7969983694007983,0.0,72.9,72.9,0.0,0.0,0.0
matched_unique_prefix_out8_n8_rep00,matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,0,6,6,595.625,4829,4829,304.85432062336525,304.3999688503582,-0.45435177300703344,0.9985096101899492,82.76980299999082,78.7112719999925,-4.058530999998311,0.9509660425312506,209.43174300001033,209.8033810000004,0.37163799999007097,1.001774506551235,22.377761714287608,21.830314571429557,-0.5474471428580507,0.9755361081305768,209.9363389999951,210.24969300000862,0.31335400001353264,1.001492614387324,0.0,85.3,85.3,0.0,0.0,0.0
matched_unique_prefix_out8_n8_rep01,matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,1,2,2,595.625,4829,4829,303.19307981502504,136.3075208420022,-166.88555897302285,0.4495733244477809,82.27895999999646,197.58500599999707,115.3060460000006,2.401403785366339,210.62076399999796,465.5031709999946,254.88240699999665,2.210148525527137,22.375850857144997,47.322318571425676,24.94646771428068,2.1148835355378157,211.08661200000256,469.52655000001187,258.4399380000093,2.224331261709796,0.0,78.0,78.0,0.0,0.0,0.0
shared_prefix_long_out8_n2_rep00,shared_prefix_long_out8_n2,shared_prefix_long,2,8,0,7,7,580.5,1177,1177,82.79478430944476,79.5990421130878,-3.19574219635696,0.9614016483887089,66.15969399999244,68.25724000000832,2.097546000015882,1.03170428811258,192.48130799999785,200.76366800000756,8.282360000009703,1.0430294249663443,20.515184857142035,21.559254142857753,1.044069285715718,1.0508925117168633,193.2488879999994,201.00744399999826,7.758555999998862,1.0401479981607908,0.0,85.7,85.7,0.0,0.0,0.0
shared_prefix_long_out8_n2_rep01,shared_prefix_long_out8_n2,shared_prefix_long,2,8,1,8,8,580.5,1177,1177,84.02158035475969,82.18783313200565,-1.8337472227540417,0.9781752828855217,66.29069699999945,67.39543000000481,1.1047330000053535,1.0166649778928312,190.16953500002387,194.4395049999912,4.269969999967316,1.0224534913016787,20.233563571431596,20.780097571430037,0.5465339999984415,1.0270112577089539,190.42726800000764,194.67601700000614,4.248748999998497,1.022311662844411,0.0,86.1,86.1,0.0,0.0,0.0
shared_prefix_long_out8_n4_rep00,shared_prefix_long_out8_n4,shared_prefix_long,4,8,0,9,9,580.5,2354,2354,166.72267159075292,161.89218042504191,-4.83049116571101,0.9710267888606763,67.16887699997187,70.05904700000087,2.890170000029002,1.043028410316138,191.6171889999987,197.35885100001838,5.741662000019687,1.029964232488661,20.31427542857094,20.8965347142883,0.5822592857173596,1.0286625672554603,191.93550400001413,197.6624190000109,5.726914999996779,1.0298377052741443,0.0,86.8,86.8,0.0,0.0,0.0
shared_prefix_long_out8_n4_rep01,shared_prefix_long_out8_n4,shared_prefix_long,4,8,1,4,4,580.5,2354,2354,163.66072295416237,140.36012126132673,-23.30060169283564,0.85762862785739,70.50273199999424,79.58701000001156,9.08427800001732,1.1288500139259576,195.20628000000784,227.6656129999992,32.459332999991375,1.1662822169450187,20.77415557142867,23.723939714285184,2.9497841428565152,1.1419929745261677,195.52644899999905,227.98498399998834,32.4585349999893,1.1660058532541009,0.0,82.7,82.7,0.0,0.0,0.0
