pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio
matched_unique_prefix_out32_n1_rep00,matched_unique_prefix_out32_n1,matched_unique_prefix,1,32,0,2,2,595.0,627,627,28.71777267432015,46.15739805439068,17.439625380070535,1.607276392143925,530.7514980000008,78.93745300000887,-451.8140449999919,0.14872770646425715,1114.1171810000117,693.0934579999928,-421.0237230000189,0.6221010409137434,18.81824783871003,19.811484032257546,0.9932361935475171,1.0527804821182334,1114.292545000012,693.2799799999998,-421.0125650000123,0.6221705270405379
matched_unique_prefix_out32_n1_rep01,matched_unique_prefix_out32_n1,matched_unique_prefix,1,32,1,5,5,595.0,627,627,48.81321863058909,46.58229643288685,-2.2309221977022418,0.9542967609944856,44.84452299999475,47.25856999999678,2.4140470000020287,1.0538314790415388,655.366751999992,686.7734109999901,31.40665899999817,1.04792226475352,19.694265451612814,20.629510999999784,0.9352455483869697,1.0474882168459032,655.5601309999872,686.9562569999914,31.396126000004188,1.0478920613309914
matched_unique_prefix_out32_n1_rep02,matched_unique_prefix_out32_n1,matched_unique_prefix,1,32,2,18,18,595.0,627,627,48.2060233121843,47.35057948667547,-0.8554438255088286,0.9822544203663319,45.17368499998042,45.986439000017754,0.8127540000373301,1.017991757812932,663.5385209999924,675.5728990000023,12.034378000009838,1.018136668210119,19.947252774193934,20.30924064516079,0.3619878709668569,1.0181472544146613,663.8174609999794,675.8101030000034,11.992642000024034,1.01806617436962
matched_unique_prefix_out32_n2_rep00,matched_unique_prefix_out32_n2,matched_unique_prefix,2,32,0,7,7,596.5,1257,1257,99.31409511617069,75.9485953751696,-23.365499741001088,0.7647312829697561,66.68954299999541,90.63493200000039,23.94538900000498,1.359057626170967,644.1779820000022,842.1980729999916,198.0200909999894,1.3073996574443438,19.224794838709524,25.231616548387407,6.006821709677883,1.3124517977993202,644.4201090000092,842.6752290000081,198.2551199999989,1.307648872577308
matched_unique_prefix_out32_n2_rep01,matched_unique_prefix_out32_n2,matched_unique_prefix,2,32,1,10,10,596.5,1257,1257,98.81096535048941,75.62585598055547,-23.18510936993394,0.7653589428289185,62.997096000003694,106.44755300000952,43.45045700000583,1.6897215865315962,647.4831310000013,845.9816230000001,198.4984919999988,1.3065693645075032,19.39317429032287,25.281492935484327,5.888318645161455,1.3036284084807976,647.7013940000234,846.2714130000109,198.5700189999875,1.3065764885477154
matched_unique_prefix_out32_n2_rep02,matched_unique_prefix_out32_n2,matched_unique_prefix,2,32,2,19,19,596.5,1257,1257,95.19493538431018,78.79480295580453,-16.400132428505657,0.8277205361577599,68.15038799999229,72.3445790000028,4.194191000010505,1.0615431712584085,672.0590809999862,811.8036440000083,139.74456300002203,1.207934937494022,20.092683838709586,24.454299677419414,4.361615838709827,1.2170748255296264,672.3046740000029,812.236310000003,139.93163600000003,1.2081372351131376
matched_unique_prefix_out32_n4_rep00,matched_unique_prefix_out32_n4,matched_unique_prefix,4,32,0,6,6,596.5,2514,2514,184.75054029429316,167.70176783368868,-17.048772460604482,0.9077200400418471,70.36607700001696,72.26504900000918,1.8989719999922272,1.0269870380864314,692.5162940000007,762.9435899999919,70.4272959999912,1.1016976735568205,20.522591096774676,22.91583525806393,2.393244161289253,1.116615107225197,692.8261200000065,763.2596939999985,70.43357399999195,1.1016612566512234
matched_unique_prefix_out32_n4_rep01,matched_unique_prefix_out32_n4,matched_unique_prefix,4,32,1,3,3,596.5,2514,2514,147.07158212434044,176.83997647050435,29.768394346163916,1.2024075209920329,259.29398200000264,73.45634499998255,-185.8376370000201,0.2832936747447606,870.0214849999952,723.4608560000027,-146.56062899999256,0.8315436669934727,20.32538199999991,21.593273354838974,1.2678913548390653,1.0623797060659952,870.3244919999804,723.818236999989,-146.50625499999137,0.8316647912971813
matched_unique_prefix_out32_n4_rep02,matched_unique_prefix_out32_n4,matched_unique_prefix,4,32,2,16,16,596.5,2514,2514,188.20052296396574,173.70455010777826,-14.495972856187478,0.9229759161776453,64.0975770000125,74.77333999997882,10.67576299996631,1.1665548605677283,679.7931010000013,736.5568259999975,56.76372499999616,1.0835014726046712,20.40970499999987,21.918198193548637,1.508493193548766,1.0739105829089042,680.1256340000066,736.8834029999789,56.75776899997231,1.0834518891254903
matched_unique_prefix_out32_n8_rep00,matched_unique_prefix_out32_n8,matched_unique_prefix,8,32,0,13,13,595.625,5021,5021,370.8864466267551,301.7546594962472,-69.13178713050792,0.8136039001714201,91.87423200000921,97.90450600002032,6.030274000011104,1.065636184039182,689.7805629999993,847.8239650000035,158.0434020000041,1.2291212749060954,20.619315129031914,24.997698225807,4.378383096775085,1.2123437693917554,690.2382179999904,848.3713239999986,158.13310600000818,1.2290993194468556
matched_unique_prefix_out32_n8_rep01,matched_unique_prefix_out32_n8,matched_unique_prefix,8,32,1,8,8,595.625,5021,5021,365.98053341537525,278.380917402204,-87.59961601317127,0.7606440561313988,104.41524300000538,102.64458300000001,-1.770660000005364,0.983042131118679,699.0587989999995,919.1060359999881,220.04723699998863,1.3147764355655993,21.066009806451156,27.2649695483872,6.198959741936044,1.2942635932903488,699.4907559999888,919.6032629999991,220.11250700001028,1.3146753622002316
matched_unique_prefix_out32_n8_rep02,matched_unique_prefix_out32_n8,matched_unique_prefix,8,32,2,11,11,595.625,5021,5021,362.12703359190823,277.21918623115835,-84.90784736074988,0.7655302159616311,97.8950129999987,135.16762800000492,37.272615000006226,1.3807406920718905,706.5005070000154,919.062695000008,212.5621879999926,1.3008662922304002,21.27107393548411,26.377406999999618,5.106333064515507,1.240059955599947,706.9342419999884,923.4570069999961,216.52276500000767,1.3062841663850415
