metric,short_profile,long_profile,short_trial_count,long_scenario_count,long_paired_run_count,short_async_first_mean,long_async_first_mean,long_minus_short_async_first_mean,short_server_first_mean,long_server_first_mean,long_minus_short_server_first_mean,short_order_effect_delta_mean,long_order_effect_delta_mean,long_minus_short_order_effect_delta_mean,short_order_effect_bootstrap_mean_p05,short_order_effect_bootstrap_mean_p50,short_order_effect_bootstrap_mean_p95
throughput_ratio,short,long,3,4,12,1.1079378840921723,1.0244197640733863,-0.083518120018786,0.9476746513007556,0.9035250813050175,-0.04414956999573805,-0.1602632327914166,-0.12089468276836879,0.039368550023047816,-0.21142808325661042,-0.1602632327914166,-0.10909838232622278
first_event_ratio,short,long,3,4,12,1.2530773611748531,1.3326112360829019,0.07953387490804875,1.3469143466500249,1.4330282259935743,0.08611387934354942,0.09383698547517172,0.10041698991067238,0.006580004435500664,0.030948403056227036,0.09383698547517172,0.1567255678941164
latency_ratio,short,long,3,4,12,0.9402127749212427,1.0005392029386926,0.06032642801744992,1.0793279734822032,1.1251006311637006,0.04577265768149741,0.13911519856096063,0.12456142822500804,-0.014553770335952593,0.09026551015574469,0.13911519856096063,0.18796488696617655
tpot_ratio,short,long,3,4,12,0.9128299160005705,0.9775975899448567,0.06476767394428617,1.0525068526462797,1.0910319818570284,0.03852512921074869,0.13967693664570935,0.11343439191217175,-0.0262425447335376,0.08802661940978836,0.13967693664570935,0.19132725388163033
