scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,repeats,estimated_peak_sequence_tokens_median,estimated_peak_sequence_tokens_p95,batch_wall_ms_median,batch_wall_ms_p95,batch_wall_ms_min,batch_wall_ms_max,batch_wall_ms_cv,total_output_tokens_median,aggregate_output_tokens_per_second_median,aggregate_output_tokens_per_second_p95,aggregate_output_tokens_per_second_min,aggregate_output_tokens_per_second_max,aggregate_output_tokens_per_second_cv,p95_first_chunk_ms_median,p95_first_chunk_ms_p95,p95_first_chunk_ms_min,p95_first_chunk_ms_max,p95_first_chunk_ms_cv,p95_latency_ms_median,p95_latency_ms_p95,p95_latency_ms_min,p95_latency_ms_max,p95_latency_ms_cv,p95_stream_tpot_ms_median,p95_stream_tpot_ms_p95,p95_stream_tpot_ms_min,p95_stream_tpot_ms_max,p95_stream_tpot_ms_cv
short_out16_n1,short,1,16,44,44,44.0,44,3,60.0,60.0,323.5240260000012,324.8541199999977,320.5210370000202,324.8541199999977,0.005611687363021341,16.0,49.45536873357264,49.91872031163743,49.252876952892315,49.91872031163743,0.005625419958034852,42.712708999999904,43.29665200000932,41.89247000002183,43.29665200000932,0.013509286019455391,323.3365989999868,324.6734460000198,320.3324010000017,324.6734460000198,0.0056238653254664294,18.70825933333246,18.75845293333403,18.562662066665325,18.75845293333403,0.00444592576229168
short_out16_n2,short,2,16,43,44,43.5,87,3,119.0,119.0,346.1085209999908,851.1454409999999,342.59797400000025,851.1454409999999,0.46545078315920113,32.0,92.45655064355047,93.4039382264414,37.59639476233769,93.4039382264414,0.3502352719891057,64.03699700001653,64.16782100001228,63.94300899998484,64.16782100001228,0.0014393429791657094,345.8848200000091,850.9332510000149,342.3318300000062,850.9332510000149,0.4656933627472268,20.08711060000034,53.77148013333416,19.87170753333392,53.77148013333416,0.5098664386592442
short_out16_n4,short,4,16,43,44,43.25,173,3,237.0,237.0,346.88218799999504,353.2560029999843,346.6021749999868,353.2560029999843,0.008806688281048336,64.0,184.5006812514712,184.649735680402,181.17172661324273,184.649735680402,0.008752529572855803,67.6048020000053,69.90771700000664,64.38227399999619,69.90771700000664,0.03367312248800041,346.6137180000146,352.99724899999774,346.3272540000162,352.99724899999774,0.008831212066212075,20.092447466667334,20.275875266666315,20.06437180000186,20.275875266666315,0.004655883476568607
short_out16_n8,short,8,16,43,48,45.25,362,3,490.0,490.0,353.8280450000002,359.3766900000048,348.27526199998715,359.3766900000048,0.012808924672548041,128.0,361.7576441686524,367.5253857105841,356.1722381048094,367.5253857105841,0.012810575850352415,66.6019370000015,67.85022299999355,65.54790699999558,67.85022299999355,0.014115462091918133,353.4620829999824,359.01150899999834,347.9221149999887,359.01150899999834,0.01280812434950914,20.399530666666504,20.822440799999715,20.124660666666234,20.822440799999715,0.014034835696509785
short_out32_n1,short,1,32,44,44,44.0,44,3,76.0,76.0,627.6334989999839,634.545533999983,624.1137199999969,634.545533999983,0.006891576788204167,32.0,50.98516897359046,51.27270715984286,50.42979311237396,51.27270715984286,0.006874052683783469,41.50119499999505,42.110680000007505,40.82783999999151,42.110680000007505,0.012631021237444523,627.3044069999969,634.3604629999788,623.9420859999996,634.3604629999788,0.006907286441683896,18.918598935484045,19.12449251612851,18.768755032257808,19.12449251612851,0.007700622675977017
short_out32_n2,short,2,32,43,44,43.5,87,3,151.0,151.0,671.274770999986,676.1410959999807,662.8315719999875,676.1410959999807,0.008205866653338435,64.0,95.34098816891382,96.55544893085028,94.65479968400238,96.55544893085028,0.008227468886426321,63.00171899999896,64.85414000002265,62.6830390000066,64.85414000002265,0.015071499045282495,671.0486030000027,675.9243989999959,662.5946149999891,675.9243989999959,0.008220915465762105,20.168166451613402,20.383999096774307,19.966190193548343,20.383999096774307,0.00845698961202487
short_out32_n4,short,4,32,43,44,43.25,173,3,301.0,301.0,669.8165759999881,675.7866620000073,668.1525340000007,675.7866620000073,0.004882991208147335,128.0,191.09709222842864,191.57302185731118,189.40888774155567,191.57302185731118,0.004869399529391813,65.27816100000905,65.66638999998986,65.19509800000378,65.66638999998986,0.0031417836406411525,669.548103000011,675.5030369999986,667.8756080000028,675.5030369999986,0.004878563528061163,20.124542225806678,20.30746870967769,20.063331387096042,20.30746870967769,0.0051433067618589816
short_out32_n8,short,8,32,43,48,45.25,362,3,618.0,618.0,682.0627719999948,683.0107950000013,680.2573710000104,683.0107950000013,0.001675183544320852,256.0,375.33202295932074,376.3281530101878,374.8110599042575,376.3281530101878,0.0016761961211416653,67.09436299999538,68.12359799999967,66.91707400000269,68.12359799999967,0.007894534271900086,681.6730200000052,682.6379739999879,679.9004840000009,682.6379739999879,0.0016637272683963597,20.440807096774037,20.48572503225761,20.420610193548512,20.48572503225761,0.0013308261135727677
long_out16_n1,long,1,16,118,118,118.0,118,3,134.0,134.0,319.4318750000207,323.4912450000138,318.196142000005,323.4912450000138,0.007060045952172761,16.0,50.088927412140585,50.283450639699296,49.46038029560682,50.283450639699296,0.0070327351132943566,41.85619200001156,42.41078799998377,41.5909470000031,42.41078799998377,0.0081419557380767,319.2544129999817,323.30948399999215,318.0234929999983,323.30948399999215,0.007052963962527959,18.510897733331905,18.726579733333892,18.41115339999912,18.726579733333892,0.007096661965029844
long_out16_n2,long,2,16,117,118,117.5,235,3,267.0,267.0,348.21244700000875,349.19017200002145,343.0699630000049,349.19017200002145,0.007740184092089033,32.0,91.897921156159,93.27543490013885,91.64060894588418,93.27543490013885,0.007778626191597898,64.67245499999308,64.73020299998211,63.378994999993665,64.73020299998211,0.009707353496394797,347.99832499999184,348.97010400001705,342.85875899999496,348.97010400001705,0.00773602604431362,20.149714933332536,20.229246933333418,19.903145400000238,20.229246933333418,0.006909018537155869
long_out16_n4,long,4,16,117,118,117.25,469,3,533.0,533.0,352.3937129999979,355.57887799998866,350.55449599997246,355.57887799998866,0.005882465936229334,64.0,181.6150448745389,182.5679052195212,179.9881937869269,182.5679052195212,0.005871738335509822,65.52195200001165,65.62359800000195,65.34864500000026,65.62359800000195,0.0017330708656216143,351.4899449999973,355.2851240000052,350.27901199998723,355.2851240000052,0.0060524113689251775,20.354429733333745,20.583325466666718,20.30074966666575,20.583325466666718,0.006002628822963385
long_out16_n8,long,8,16,117,122,119.25,954,3,1082.0,1082.0,354.76204100001496,361.7177579999975,351.1389839999879,361.7177579999975,0.012334800603451487,128.0,360.805230568607,364.528024037355,353.8670611797856,364.528024037355,0.012280791507578161,67.84289499998408,69.09676200001513,66.94355899998072,69.09676200001513,0.012992796743738997,354.4054200000062,361.32818400000133,350.7773929999871,361.32818400000133,0.01231151204151837,20.457982400000674,20.904915799998964,20.227767466665608,20.904915799998964,0.013693197271166576
long_out32_n1,long,1,32,118,118,118.0,118,3,150.0,150.0,637.2079420000034,638.7654060000045,631.6318869999975,638.7654060000045,0.004816105993444831,32.0,50.219085310772584,50.66242008773082,50.096639078165374,50.66242008773082,0.004829448974243525,42.04211700002247,43.60722399999872,41.256895000003624,43.60722399999872,0.02309501064674697,637.0273630000156,638.5891479999941,631.4489819999949,638.5891479999941,0.004821300175583846,19.19296529032243,19.193072451612682,19.038454419354558,19.193072451612682,0.0038065148668513316
long_out32_n2,long,2,32,117,118,117.5,235,3,299.0,299.0,671.820165000014,678.2767180000064,664.7001169999953,678.2767180000064,0.008256161747002179,64.0,95.26358888021569,96.2840209639988,94.35676959208173,96.2840209639988,0.008260656848953404,63.57294500000421,66.43543600000612,63.56628000000342,66.43543600000612,0.020937113672854866,671.6119579999997,678.0593269999997,664.4838290000052,678.0593269999997,0.008258295636762336,20.21134912903225,20.387520677418948,19.9947713870967,20.387520677418948,0.007952409978856292
long_out32_n4,long,4,32,117,118,117.25,469,3,597.0,597.0,685.0645530000179,943.5429659999954,683.0333830000086,943.5429659999954,0.1587566488119929,128.0,186.8437060996158,187.39933242764855,135.6588990776289,187.39933242764855,0.14273787055466924,65.66762599999265,290.059924000019,65.2992690000076,290.059924000019,0.7543448657988947,684.7831510000049,943.2713299999875,682.7463690000002,943.2713299999875,0.1588220761628588,20.596990580644974,22.619843967741954,20.532879806451422,22.619843967741954,0.04560240701386403
long_out32_n8,long,8,32,117,122,119.25,954,3,1210.0,1210.0,688.1140259999938,713.4873280000136,680.2079649999939,713.4873280000136,0.020457704157491458,256.0,372.0313644645899,376.3554871045979,358.8010465688259,376.3554871045979,0.02023421153165703,68.94532600000502,71.65510299998346,66.10280999998963,71.65510299998346,0.03290122663610015,687.7379619999999,713.1070630000238,679.8180950000017,713.1070630000238,0.02047261138864054,20.52029070967735,21.445300225807276,20.426392999999894,21.445300225807276,0.02210795262323915
