scenario_id,prompt_profile,request_count,max_new_tokens,runs,prompt_tokens_mean,cold_prefix_cache_hit_rate_pct_mean,cold_prefix_cache_hit_rate_pct_min,cold_prefix_cache_hit_rate_pct_max,cold_prefix_cache_hit_rate_pct_population_stdev,cache_prefix_cache_hit_rate_pct_mean,cache_prefix_cache_hit_rate_pct_min,cache_prefix_cache_hit_rate_pct_max,cache_prefix_cache_hit_rate_pct_population_stdev,cache_to_cold_prefix_cache_hit_rate_pct_delta_mean,cache_to_cold_prefix_cache_hit_rate_pct_delta_min,cache_to_cold_prefix_cache_hit_rate_pct_delta_max,cache_to_cold_prefix_cache_hit_rate_pct_delta_population_stdev,cache_to_cold_output_tokens_per_second_ratio_mean,cache_to_cold_output_tokens_per_second_ratio_min,cache_to_cold_output_tokens_per_second_ratio_max,cache_to_cold_output_tokens_per_second_ratio_population_stdev,cache_to_cold_p95_latency_ms_ratio_mean,cache_to_cold_p95_latency_ms_ratio_min,cache_to_cold_p95_latency_ms_ratio_max,cache_to_cold_p95_latency_ms_ratio_population_stdev,cache_to_cold_p95_stream_tpot_ms_ratio_mean,cache_to_cold_p95_stream_tpot_ms_ratio_min,cache_to_cold_p95_stream_tpot_ms_ratio_max,cache_to_cold_p95_stream_tpot_ms_ratio_population_stdev
matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,1,596.5,0.0,0.0,0.0,0.0,2.2,2.2,2.2,0.0,2.2,2.2,2.2,0.0,2.9995072289233367,2.9995072289233367,2.9995072289233367,0.0,0.3331824651866176,0.3331824651866176,0.3331824651866176,0.0,0.28834911592478335,0.28834911592478335,0.28834911592478335,0.0
matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,1,596.5,0.0,0.0,0.0,0.0,2.6,2.6,2.6,0.0,2.6,2.6,2.6,0.0,1.732107553227296,1.732107553227296,1.732107553227296,0.0,0.5768846481933917,0.5768846481933917,0.5768846481933917,0.0,0.9480563011174735,0.9480563011174735,0.9480563011174735,0.0
matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,1,595.625,0.0,0.0,0.0,0.0,2.8,2.8,2.8,0.0,2.8,2.8,2.8,0.0,1.0077167218778282,1.0077167218778282,1.0077167218778282,0.0,0.9923732165380985,0.9923732165380985,0.9923732165380985,0.0,0.9358233601772301,0.9358233601772301,0.9358233601772301,0.0
shared_prefix_long_out8_n2,shared_prefix_long,2,8,1,580.5,0.0,0.0,0.0,0.0,28.1,28.1,28.1,0.0,28.1,28.1,28.1,0.0,3.1474786839486293,3.1474786839486293,3.1474786839486293,0.0,0.3174477549750701,0.3174477549750701,0.3174477549750701,0.0,0.2654423392698185,0.2654423392698185,0.2654423392698185,0.0
shared_prefix_long_out8_n4,shared_prefix_long,4,8,1,580.5,0.0,0.0,0.0,0.0,41.4,41.4,41.4,0.0,41.4,41.4,41.4,0.0,0.9916350147910984,0.9916350147910984,0.9916350147910984,0.0,1.012096425769118,1.012096425769118,1.012096425769118,0.0,1.0264864647885097,1.0264864647885097,1.0264864647885097,0.0
shared_prefix_long_out8_n8,shared_prefix_long,8,8,1,579.5,0.0,0.0,0.0,0.0,48.1,48.1,48.1,0.0,48.1,48.1,48.1,0.0,1.0430345664389817,1.0430345664389817,1.0430345664389817,0.0,0.9585051053765359,0.9585051053765359,0.9585051053765359,0.0,0.8089542060570166,0.8089542060570166,0.8089542060570166,0.0
