scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_mean,estimated_peak_sequence_tokens_median,cold_output_tokens_per_second_median,prefix_output_tokens_per_second_median,output_tokens_per_second_delta,output_tokens_per_second_ratio,cold_p95_first_chunk_ms_median,prefix_p95_first_chunk_ms_median,p95_first_chunk_ms_delta,p95_first_chunk_ms_ratio,cold_p95_latency_ms_median,prefix_p95_latency_ms_median,p95_latency_ms_delta,p95_latency_ms_ratio,cold_p95_stream_tpot_ms_median,prefix_p95_stream_tpot_ms_median,p95_stream_tpot_ms_delta,p95_stream_tpot_ms_ratio,cold_throughput_cv,prefix_throughput_cv,cold_latency_cv,prefix_latency_cv
long_out16_n1,long,1,16,118.0,134.0,42.33594089301378,50.088927412140585,7.752986519126807,1.1831301337726072,48.8470649999897,41.85619200001156,-6.990872999978137,0.8568824350044447,377.73820000001024,319.2544129999817,-58.48378700002854,0.8451737552621711,21.71340059999996,18.510897733331905,-3.2025028666680555,0.852510303399088,0.013333504859839617,0.0070327351132943566,0.013311551324572155,0.007052963962527959
long_out16_n2,long,2,16,117.5,267.0,79.00503156875124,91.897921156159,12.892889587407765,1.1631907402782087,66.48269000001505,64.67245499999308,-1.8102350000219758,0.9727713334099212,404.7359050000239,347.99832499999184,-56.73758000003204,0.8598157976618638,23.52744686666597,20.149714933332536,-3.3777319333334326,0.8564344039336009,0.06486642649791437,0.007778626191597898,0.062261005590444965,0.00773602604431362
long_out16_n4,long,4,16,117.25,533.0,144.3100714743012,181.6150448745389,37.304973400237714,1.2585056816833535,94.86754200000291,65.52195200001165,-29.34558999999126,0.6906677523067862,443.1626900000083,351.4899449999973,-91.67274500001099,0.7931397496481275,24.968227266667025,20.354429733333745,-4.61379753333328,0.8152132514632798,0.03355739993996602,0.005871738335509822,0.03399173002785656,0.0060524113689251775
long_out16_n8,long,8,16,119.25,1082.0,299.19931994612233,360.805230568607,61.60591062248466,1.205902575692947,77.76113299999565,67.84289499998408,-9.91823800001157,0.8724525014313754,426.8618760000038,354.4054200000062,-72.45645599999762,0.8302578420004016,23.86741660000098,20.457982400000674,-3.4094342000003053,0.8571511002996376,0.048606353058387106,0.012280791507578161,0.046026425248235275,0.01231151204151837
long_out32_n1,long,1,32,118.0,150.0,42.42946806324394,50.219085310772584,7.789617247528646,1.1835897927336188,57.8537439999991,42.04211700002247,-15.811626999976625,0.7266965643575829,753.9570049999895,637.0273630000156,-116.92964199997391,0.8449120556947733,22.214006516129125,19.19296529032243,-3.0210412258066945,0.8640028657769061,0.0397112627214023,0.004829448974243525,0.0386762468513314,0.004821300175583846
long_out32_n2,long,2,32,117.5,299.0,79.28655853536006,95.26358888021569,15.977030344855635,1.201509948722648,83.72703799997794,63.57294500000421,-20.154092999973727,0.7592881167015721,806.9545619999872,671.6119579999997,-135.34260399998743,0.8322797709147971,23.92530332258044,20.21134912903225,-3.71395419354819,0.8447687728981476,0.040825513890073856,0.008260656848953404,0.04013555438243072,0.008258295636762336
long_out32_n4,long,4,32,117.25,597.0,156.9078647621663,186.8437060996158,29.93584133744949,1.1907861112177192,86.11604600000078,65.66762599999265,-20.448420000008127,0.762548085405501,815.4242569999894,684.7831510000049,-130.64110599998457,0.8397875647204517,24.35940099999995,20.596990580644974,-3.7624104193549748,0.8455458564291058,0.14826698580707617,0.14273787055466924,0.15781351391609386,0.1588220761628588
long_out32_n8,long,8,32,119.25,1210.0,273.1443203586927,372.0313644645899,98.88704410589719,1.3620322178987243,118.47803000000567,68.94532600000502,-49.53270400000065,0.5819249864299881,936.7512050000073,687.7379619999999,-249.01324300000738,0.7341735546526408,28.206042096774162,20.52029070967735,-7.685751387096811,0.7275140070795042,0.07211243743106621,0.02023421153165703,0.075840652964103,0.02047261138864054
short_out16_n1,short,1,16,44.0,60.0,43.182037839769144,49.45536873357264,6.273330893803497,1.1452763974938205,46.92326599999319,42.712708999999904,-4.210556999993287,0.9102671796120522,368.1746419999854,323.3365989999868,-44.838042999998606,0.8782152872983566,21.41675839999948,18.70825933333246,-2.70849906666702,0.8735336591989997,0.10231841698272334,0.005625419958034852,0.09909578127210848,0.0056238653254664294
short_out16_n2,short,2,16,43.5,119.0,72.64694732782354,92.45655064355047,19.809603315726932,1.2726832171809637,82.54459500000166,64.03699700001653,-18.507597999985137,0.7757866762810482,440.1667639999971,345.8848200000091,-94.28194399998802,0.7858040367627833,25.865046866666336,20.08711060000034,-5.777936266665996,0.7766121864595448,0.3722915036706791,0.3502352719891057,0.5051615117352752,0.4656933627472268
short_out16_n4,short,4,16,43.25,237.0,118.52447525135999,184.5006812514712,65.97620600011122,1.556646261121955,135.90410000000475,67.6048020000053,-68.29929799999945,0.4974449041640608,538.7868290000029,346.6137180000146,-192.17311099998824,0.643322552341035,28.188179066667846,20.092447466667334,-8.095731600000512,0.712796928781625,0.1033599153440724,0.008752529572855803,0.09729662335173127,0.008831212066212075
