status,phase_order,profile_label,prompt_profile,gpu_memory_utilization,request_count,max_new_tokens,trial_count,prompt_tokens_mean,estimated_prompt_tokens,kv_cache_size_tokens,max_concurrency_for_request,max_num_batched_tokens,estimated_prompt_token_pressure_ratio,prefix_cache_hit_rate_pct,prefix_cache_queries,prefix_cache_hits,throughput_ratio,p95_latency_ratio,p95_first_content_ratio,p95_stream_tpot_ratio
measured,async_first,matched_unique,matched_unique_prefix_mega_long_no_repeat_variant,0.325,32,8,2,3586.96875,114783.0,14206.0,3.9,60640.0,8.079895818668168,0.4424876746310058,437527.0,1936.0,0.9754267402601208,1.0255991745941577,1.0258555523042983,1.0376958050358913
measured,async_first,matched_unique,matched_unique_prefix_mega_long_no_repeat_variant,0.35,32,8,2,3586.96875,114783.0,34805.0,9.55,60640.0,3.2978882344490734,0.4381612640106153,211794.5,928.0,0.9945789300883067,1.005657861286773,1.0078353034699896,1.0316444053657123
measured,async_first,matched_unique,matched_unique_prefix_mega_long_no_repeat_variant,0.4,32,8,2,3586.96875,114783.0,76018.0,20.86,60640.0,1.5099450130232313,0.4350712796478253,143425.0,624.0,0.9842295047366263,1.0164786065019724,1.0119560797817149,1.5522554258245973
measured,async_first,matched_unique,matched_unique_prefix_mega_long_no_repeat_variant,0.45,32,8,2,3586.96875,114783.0,117214.5,32.17,60640.0,0.9792559794223411,0.43212041908864346,114783.0,496.0,0.9947430560529918,1.0051218808106472,1.0059243055121243,1.252392792226807
measured,async_first,shared_prefix,shared_prefix_mega_long_no_repeat_variant,0.325,32,8,2,3588.96875,114847.0,14194.5,3.91,60640.0,8.090950720349431,96.20439606375295,114847.0,110488.0,10.740620647504809,0.09461492737939965,0.08513714114283255,0.3132940375410598
measured,async_first,shared_prefix,shared_prefix_mega_long_no_repeat_variant,0.35,32,8,2,3588.96875,114847.0,34775.5,9.57,60640.0,3.3025262037929,96.20439606375295,114847.0,110488.0,8.466668933349023,0.11871417011081817,0.10541158060471126,0.09102662274925367
measured,async_first,shared_prefix,shared_prefix_mega_long_no_repeat_variant,0.4,32,8,2,3588.96875,114847.0,75955.0,20.91,60640.0,1.5120400236982423,96.20439606375295,114847.0,110488.0,8.63847906247011,0.1159605189725724,0.09971029051938803,0.17550847876132036
measured,async_first,shared_prefix,shared_prefix_mega_long_no_repeat_variant,0.45,32,8,2,3588.96875,114847.0,117118.0,32.24,60640.0,0.9806093000221998,96.20439606375295,114847.0,110488.0,9.125392679341468,0.10941453432468196,0.09547116344445186,0.045783889588628154
