request_count,max_new_tokens,shared_profile,control_profile,shared_estimated_measured_cache_hit_rate_pct,control_estimated_measured_cache_hit_rate_pct,shared_minus_control_estimated_measured_cache_hit_rate_pct,shared_after_cache_hit_rate_pct,control_after_cache_hit_rate_pct,shared_minus_control_after_cache_hit_rate_pct,shared_cache_to_cold_throughput_ratio_mean,control_cache_to_cold_throughput_ratio_mean,shared_minus_control_cache_to_cold_throughput_ratio_mean,shared_cache_to_cold_p95_latency_ratio_mean,control_cache_to_cold_p95_latency_ratio_mean,shared_minus_control_cache_to_cold_p95_latency_ratio_mean
2,8,shared_prefix_long,matched_unique_prefix,49.56563307493541,2.5956412405699916,46.96999183436542,28.1,2.2,25.900000000000002,4.0523284938737625,1.230755803041217,2.8215726908325456,0.24634814278741726,0.8134415227784606,-0.5670933799910434
4,8,shared_prefix_long,matched_unique_prefix,73.11304909560722,2.6793378038558258,70.4337112917514,41.4,2.6,38.8,1.028745180046894,2.0151449896628937,-0.9863998096159996,0.973043726368143,0.4952508787681282,0.4777928476000148
8,8,shared_prefix_long,matched_unique_prefix,84.88237704918033,2.6413011542497373,82.2410758949306,48.1,2.8,45.300000000000004,1.249172202306887,1.1754421095467487,0.07373009276013831,0.8118497392556326,0.8510021746488682,-0.03915243539323554
