server_prefix_caching_configured,phase_order_count,mean_server_latest_prefix_cache_hit_rate_pct,mean_server_to_async_throughput_ratio,mean_server_to_async_latency_ratio,mean_server_to_async_tpot_ratio,async_first_throughput_ratio,server_first_throughput_ratio,server_first_minus_async_first_throughput_ratio,async_first_latency_ratio,server_first_latency_ratio,server_first_minus_async_first_latency_ratio
off,1,,1.1698572536003538,0.8556436641238849,0.9523518010302539,1.1698572536003538,,,0.8556436641238849,,
on,1,,1.0873788467008687,0.9202407259313287,1.4744065642607858,1.0873788467008687,,,0.9202407259313287,,
