trial_index,trial_label,phase_order,prompt_profile,scenario_id,request_count,max_new_tokens,repeat_index,prompt_tokens_mean,estimated_prompt_tokens,gpu_memory_utilization,max_model_len,max_num_batched_tokens,off_source_dir,on_source_dir,off_server_enable_prefix_caching_observed,on_server_enable_prefix_caching_observed,off_server_latest_prefix_cache_hit_rate_pct,on_server_latest_prefix_cache_hit_rate_pct,cache_on_minus_off_server_latest_prefix_cache_hit_rate_pct,off_server_gpu_kv_cache_size_tokens,on_server_gpu_kv_cache_size_tokens,off_server_max_concurrency_for_request,on_server_max_concurrency_for_request,off_server_available_kv_cache_memory_gib,on_server_available_kv_cache_memory_gib,off_server_output_tokens_per_second,on_server_output_tokens_per_second,cache_on_minus_off_server_output_tokens_per_second,cache_on_div_off_server_output_tokens_per_second,off_server_p95_latency_ms,on_server_p95_latency_ms,cache_on_minus_off_server_p95_latency_ms,cache_on_div_off_server_p95_latency_ms,off_server_p95_first_content_ms,on_server_p95_first_content_ms,cache_on_minus_off_server_p95_first_content_ms,cache_on_div_off_server_p95_first_content_ms,off_server_p95_stream_tpot_ms,on_server_p95_stream_tpot_ms,cache_on_minus_off_server_p95_stream_tpot_ms,cache_on_div_off_server_p95_stream_tpot_ms,off_server_batch_wall_ms,on_server_batch_wall_ms,cache_on_minus_off_server_batch_wall_ms,cache_on_div_off_server_batch_wall_ms,off_server_prefix_cache_counter_requests,on_server_prefix_cache_counter_requests,cache_on_minus_off_server_prefix_cache_counter_requests,off_server_prefix_cache_counter_queries,on_server_prefix_cache_counter_queries,cache_on_minus_off_server_prefix_cache_counter_queries,off_server_prefix_cache_counter_hits,on_server_prefix_cache_counter_hits,cache_on_minus_off_server_prefix_cache_counter_hits,off_server_prefix_cache_counter_hit_rate_pct,on_server_prefix_cache_counter_hit_rate_pct,cache_on_minus_off_server_prefix_cache_counter_hit_rate_pct
1,modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-matched-unique-seed4107-cache-control-r1,async_first,matched_unique_prefix_mega_long_no_repeat_variant,matched_unique_prefix_mega_long_no_repeat_variant_out8_n16,16,8,0,3588.0625,57409.0,0.325,3648,60640,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-matched-unique-seed4107-cache-off-r1,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-matched-unique-seed4107-cache-on-r1,False,True,,,,14224,14224,3.9,3.9,0.38,0.38,29.338625608818614,27.520429239162116,-1.8181963696564978,0.938027213888643,4357.735708000007,4644.926949999985,287.19124199997714,1.0659037769254218,4249.160007,4509.114646999989,259.954639999989,1.0611778891761534,83.08872157143047,88.40082257142964,5.312100999999174,1.0639328768036516,4362.849225000019,4651.090245999995,288.2410209999762,1.0660671515642337,,,,0,215533,215533,0,944,944,0.0,0.4379839746117764,0.4379839746117764
2,modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-shared-prefix-seed4107-cache-control-r1,async_first,shared_prefix_mega_long_no_repeat_variant,shared_prefix_mega_long_no_repeat_variant_out8_n16,16,8,0,3592.3125,57477.0,0.325,3637,60640,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-shared-prefix-seed4107-cache-off-r1,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-shared-prefix-seed4107-cache-on-r1,False,True,,,,14181,14181,3.9,3.9,0.38,0.38,29.26399681295327,135.18326748575572,105.91927067280245,4.619439659927754,4369.555254999995,943.913560999988,-3425.6416940000067,0.21602051145133971,4260.155947000016,686.8528339999784,-3573.3031130000372,0.16122715753719236,82.2735462857135,51.61872585714328,-30.65482042857021,0.6274036818333512,4373.9753259999925,946.8627470000115,-3427.112578999981,0.216476471957129,,,,0,57477,57477,0,53520,53520,0.0,93.11550707239418,93.11550707239418
3,modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-matched-unique-seed4208-cache-control-r1,async_first,matched_unique_prefix_mega_long_no_repeat_variant,matched_unique_prefix_mega_long_no_repeat_variant_out8_n16,16,8,0,3580.0625,57281.0,0.325,3640,60640,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-matched-unique-seed4208-cache-off-r1,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-matched-unique-seed4208-cache-on-r1,False,True,,,,14192,14192,3.9,3.9,0.38,0.38,28.256985417974626,29.667057231929924,1.4100718139552981,1.0499017072450458,4522.877706000003,4307.349794999993,-215.52791100001014,0.952347172528213,4398.984794,4192.872356999998,-206.1124370000016,0.9531454536325906,84.21511214285715,80.35517299999889,-3.8599391428582663,0.954165718662103,4529.853348000017,4314.549940000006,-215.30340800001068,0.9524701151539333,,,,0,215053,215053,0,944,944,0.0,0.438961558313532,0.438961558313532
4,modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-shared-prefix-seed4208-cache-control-r1,async_first,shared_prefix_mega_long_no_repeat_variant,shared_prefix_mega_long_no_repeat_variant_out8_n16,16,8,0,3608.3125,57733.0,0.325,3653,60640,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-shared-prefix-seed4208-cache-off-r1,results/modal-vllm-server-async-qwen15b-l4-kvbudget-gpu0325-n16-batched-tokens60640-shared-prefix-seed4208-cache-on-r1,False,True,,,,14181,14181,3.88,3.88,0.38,0.38,29.446826383021516,216.80124081447588,187.35441443145436,7.362465414591481,4341.657663000006,589.5728050000173,-3752.0848579999893,0.13579440176143073,4236.5286459999825,482.9524680000077,-3753.576177999975,0.1139972152568822,80.19426371428396,21.426028285714796,-58.76823542856917,0.26717656966153375,4346.818170999995,590.4025250000018,-3756.4156459999936,0.13582406757634824,,,,0,57733,57733,0,53760,53760,0.0,93.1183205445759,93.1183205445759
