scenario_id,prompt_profile,request_count,max_new_tokens,pairs,prompt_tokens_mean,server_to_async_output_tokens_per_second_ratio_median,server_to_async_output_tokens_per_second_ratio_p95,server_to_async_p95_first_event_ms_ratio_median,server_to_async_p95_first_event_ms_ratio_p95,server_to_async_p95_latency_ms_ratio_median,server_to_async_p95_latency_ms_ratio_p95,server_to_async_p95_stream_tpot_ms_ratio_median,server_to_async_p95_stream_tpot_ms_ratio_p95,server_to_async_batch_wall_ms_ratio_median,server_to_async_batch_wall_ms_ratio_p95,async_output_tokens_per_second_median,server_output_tokens_per_second_median,async_p95_first_event_ms_median,server_p95_first_content_ms_median,async_p95_latency_ms_median,server_p95_latency_ms_median,async_p95_stream_tpot_ms_median,server_p95_stream_tpot_ms_median
short_out32_n1,short,1,32,3,44.0,0.9027252312565857,0.9373033223889627,1.4053019736990993,1.6606213408275934,1.1066821964032583,1.130914881646843,1.0691676103752759,1.111484701193543,1.1077567850939636,1.13198732764171,49.02396194897381,44.10854823154741,42.370560999984264,59.543433000015966,652.5509010000121,724.5938140000021,19.571732580645527,21.36884874193543
short_out32_n2,short,2,32,3,43.5,0.8428029816524862,0.9560340125590809,1.2734114158865835,1.5762389562011156,1.185138725190641,1.7171329312037482,1.1437351669004872,1.7692549758750233,1.1865169224239065,1.717881344154501,85.53845111757327,80.13250831773973,64.5135800000105,91.06981600001518,747.9797550000171,797.499576000007,22.685802290322588,23.310185322581066
short_out32_n4,short,4,32,3,43.25,0.9018286895836638,0.9031216427578869,1.481653277314701,1.728658002441791,1.1078316615010257,1.1136696363338887,1.0768031336605195,1.08152927126153,1.1088580475984389,1.1147904442006862,186.59857925532313,168.52121543335517,66.46726700000727,95.68679100001987,685.6998739999938,758.5295979999955,20.606879193548462,22.050351225806985
short_out32_n8,short,8,32,3,45.25,0.9240479176598887,0.937511405845508,1.3675131563623142,1.6150157687967215,1.0812454270884773,1.123566785565577,1.0579424475099242,1.097522550707368,1.0821949607683297,1.124559182836584,352.69200265028246,325.90431062428945,67.51941999999644,96.49022899998272,725.4144769999868,784.3510860000151,21.879407548386926,22.701488032257913
