pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_prefix_cache_counter_requests,cache_prefix_cache_counter_requests,cold_prefix_cache_counter_queries,cache_prefix_cache_counter_queries,cold_prefix_cache_counter_hits,cache_prefix_cache_counter_hits,cold_prefix_cache_counter_hit_rate_pct,cache_prefix_cache_counter_hit_rate_pct,cache_to_cold_prefix_cache_counter_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,isolation_call_index,isolation_phase_order,isolation_warmup_runs,isolation_warmup_prompt_profile
shared_prefix_long_out8_n2_isolated_rep00,shared_prefix_long_out8_n2,shared_prefix_long,2,8,0,0,0,580.5,1177,1177,24.0001272846748,72.1154443143132,48.11531702963839,3.004794243752293,64.20754900000247,69.63266400001089,5.425115000008418,1.0844934136951436,666.3944029999982,221.6233299999999,-444.7710729999983,0.33257081542445144,88.37130285714271,24.21962928571426,-64.15167357142845,0.2740666766548263,666.6631310000071,221.86648300001366,-444.7966479999934,0.3328014895127166,0.0,28.1,28.1,0,2,0,1161,0,576,0.0,49.6124031007752,49.6124031007752,0.0,0.0,0.0,0,cold_first,1,neutral_long
shared_prefix_long_out8_n4_isolated_rep00,shared_prefix_long_out8_n4,shared_prefix_long,4,8,0,0,0,580.5,2354,2354,163.31193084548354,165.28074116677698,1.9688103212934323,1.0120555204454487,71.20309800001223,69.14388799998505,-2.0592100000271785,0.9710797695905475,195.60917900000163,193.29168100000516,-2.317497999996476,0.9881524066925487,20.353166857144547,20.261485428570886,-0.09168142857366135,0.9954954710872682,195.94404299999724,193.60997399999746,-2.334068999999772,0.9880880839026078,0.0,41.4,41.4,0,4,0,2322,0,1696,0.0,73.04048234280792,73.04048234280792,0.0,0.0,0.0,1,cold_first,1,neutral_long
shared_prefix_long_out8_n8_isolated_rep00,shared_prefix_long_out8_n8,shared_prefix_long,8,8,0,0,0,579.5,4700,4700,241.63766058256905,269.545000710555,27.90734012798592,1.1154925108143472,108.37084899998217,95.61209799994685,-12.758751000035318,0.882267684365586,264.40313000000515,236.2173010000106,-28.185828999994555,0.8933982778494566,29.552366428569194,22.9460318571455,-6.6063345714236945,0.7764532804033878,264.859376000004,237.437161999992,-27.42221400001199,0.8964650056412895,0.0,48.1,48.1,0,8,0,4636,0,3936,0.0,84.90077653149267,84.90077653149267,0.0,0.0,0.0,2,cold_first,1,neutral_long
matched_unique_prefix_out8_n2_isolated_rep00,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,0,0,0,596.5,1209,1209,69.79276669336883,74.17406483426069,4.381298140891857,1.062775819737035,68.93492599999718,66.38812699998198,-2.5467990000151985,0.9630550267071397,228.96491899996363,215.45676599998842,-13.50815299997521,0.9410033944982753,25.450545714282466,23.738799999997745,-1.7117457142847208,0.9327422785545963,229.25011799998174,215.70881999997482,-13.541298000006918,0.9409322092475084,0.0,2.2,2.2,0,2,0,1193,0,32,0.0,2.682313495389774,2.682313495389774,0.0,0.0,0.0,3,cold_first,1,neutral_long
matched_unique_prefix_out8_n4_isolated_rep00,matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,0,0,0,596.5,2418,2418,96.01021078192682,162.38220953099614,66.37199874906932,1.6913014585482333,206.82176799999752,76.1340310000378,-130.68773699995972,0.3681142064313013,332.92724199998247,196.7633539999838,-136.16388799999868,0.591010074207127,20.948431714284002,19.735607428572166,-1.2128242857118359,0.9421042919940945,333.2978830000002,197.06592299996828,-136.2319600000319,0.5912606501613098,0.0,2.6,2.6,0,4,0,2386,0,64,0.0,2.682313495389774,2.682313495389774,0.0,0.0,0.0,4,cold_first,1,neutral_long
matched_unique_prefix_out8_n8_isolated_rep00,matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,0,0,0,595.625,4829,4829,237.83562564515427,244.67949129500397,6.843865649849704,1.028775611859178,104.61455600000136,106.52695800001766,1.9124020000163,1.0182804580274305,268.6057629999823,261.0611680000261,-7.544594999956189,0.9719120136675672,30.336631142859005,28.710743999998353,-1.6258871428606518,0.9464051517386969,269.09341199996106,261.56667099996866,-7.526740999992398,0.9720292632062152,0.0,2.8,2.8,0,8,0,4765,0,128,0.0,2.6862539349422874,2.6862539349422874,0.0,0.0,0.0,5,cold_first,1,neutral_long
shared_prefix_long_out8_n2_isolated_rep01,shared_prefix_long_out8_n2,shared_prefix_long,2,8,1,0,0,580.5,1177,1177,75.3844775614801,70.28301600023299,-5.101461561247106,0.9323274269946809,67.0961209999632,70.99375000001373,3.8976290000505287,1.0580902284955143,211.99397899999894,227.40865700001223,15.414678000013282,1.0727128103954942,23.244069857144364,24.989660999998314,1.7455911428539501,1.0750983435165258,212.24528600004078,227.65101600003845,15.405729999997675,1.0725845567189403,0.0,28.1,28.1,0,2,0,1161,0,576,0.0,49.6124031007752,49.6124031007752,0.0,0.0,0.0,6,cold_first,1,neutral_long
shared_prefix_long_out8_n4_isolated_rep01,shared_prefix_long_out8_n4,shared_prefix_long,4,8,1,0,0,580.5,2354,2354,157.4481976978557,162.10465663054114,4.656458932685439,1.029574545792015,77.74095000002035,69.93691499997112,-7.804035000049225,0.8996148747854614,202.8558000000089,197.08412099998895,-5.771679000019958,0.9715478729224419,20.491659428565917,20.746846000000524,0.25518657143460644,1.0124531921059976,203.24145000000726,197.4033359999794,-5.838114000027872,0.971274983523156,0.0,41.4,41.4,0,4,0,2322,0,1696,0.0,73.04048234280792,73.04048234280792,0.0,0.0,0.0,7,cold_first,1,neutral_long
shared_prefix_long_out8_n8_isolated_rep01,shared_prefix_long_out8_n8,shared_prefix_long,8,8,1,0,0,579.5,4700,4700,225.94316807012567,250.79706343750254,24.85389536737688,1.1100006500734867,116.89651899996534,97.36127500002567,-19.535243999939667,0.8328842965807608,282.74559799990584,254.65570100004697,-28.089896999858865,0.9006531058359104,32.398338857141034,25.31235342857079,-7.085985428570243,0.7812855325757421,283.25707099998,255.18640100005996,-28.070669999920028,0.9009003732869849,0.0,48.1,48.1,0,8,0,4636,0,3936,0.0,84.90077653149267,84.90077653149267,0.0,0.0,0.0,8,cold_first,1,neutral_long
matched_unique_prefix_out8_n2_isolated_rep01,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,1,0,0,596.5,1209,1209,71.90507157166557,73.89524211443492,1.9901705427693486,1.0276777492778908,68.15885499997876,66.55831700004455,-1.600537999934204,0.9765175339296016,222.25919799996063,216.28663800004233,-5.972559999918303,0.9731279512674236,24.58720771427839,23.883399714285197,-0.7038079999931917,0.9713750333843533,222.51559799997267,216.52273600000171,-5.992861999970955,0.9730676768108109,0.0,2.2,2.2,0,2,0,1193,0,32,0.0,2.682313495389774,2.682313495389774,0.0,0.0,0.0,9,cold_first,1,neutral_long
