scenario_id,prompt_profile,request_count,max_new_tokens,pairs,prompt_tokens_mean,cache_to_cold_output_tokens_per_second_ratio_median,cache_to_cold_output_tokens_per_second_ratio_p95,cache_to_cold_p95_first_event_ms_ratio_median,cache_to_cold_p95_first_event_ms_ratio_p95,cache_to_cold_p95_latency_ms_ratio_median,cache_to_cold_p95_latency_ms_ratio_p95,cache_to_cold_p95_stream_tpot_ms_ratio_median,cache_to_cold_p95_stream_tpot_ms_ratio_p95,cache_to_cold_batch_wall_ms_ratio_median,cache_to_cold_batch_wall_ms_ratio_p95,cold_output_tokens_per_second_median,cache_output_tokens_per_second_median,cold_p95_first_event_ms_median,cache_p95_first_event_ms_median,cold_p95_latency_ms_median,cache_p95_latency_ms_median,cold_p95_stream_tpot_ms_median,cache_p95_stream_tpot_ms_median,cold_prefix_cache_hit_rate_pct_median,cache_prefix_cache_hit_rate_pct_median,cache_to_cold_prefix_cache_hit_rate_pct_delta_median,cold_prefix_cache_counter_queries_median,cache_prefix_cache_counter_queries_median,cold_prefix_cache_counter_hits_median,cache_prefix_cache_counter_hits_median,cold_prefix_cache_counter_hit_rate_pct_median,cache_prefix_cache_counter_hit_rate_pct_median,cache_to_cold_prefix_cache_counter_hit_rate_pct_delta_median,cold_gpu_kv_cache_usage_pct_median,cache_gpu_kv_cache_usage_pct_median,cache_to_cold_gpu_kv_cache_usage_pct_delta_median
matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,3,596.5,1.0276777492778908,1.062775819737035,0.9765175339296016,1.0676886868195807,0.9731279512674236,1.0855979971508651,0.9713750333843533,1.0991885220768074,0.9730676768108109,1.0855667691570805,71.90507157166557,73.89524211443492,68.15885499997876,66.55831700004455,222.25919799996063,216.28663800004233,24.58720771427839,23.883399714285197,0.0,2.2,2.2,0.0,1193.0,0.0,32.0,0.0,2.682313495389774,2.682313495389774,0.0,0.0,0.0
matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,3,596.5,1.1579390659964532,1.6913014585482333,0.7677773612534645,0.9622813643634474,0.863364833591603,0.9540469602137095,0.9421042919940945,0.958469060896572,0.863603301214697,0.9540654299375824,133.80132521093913,158.9224833140121,99.42880300002344,76.1340310000378,238.82523700001457,201.01998899997398,21.950571714293282,21.03894385714154,0.0,2.6,2.6,0.0,2386.0,0.0,64.0,0.0,2.682313495389774,2.682313495389774,0.0,0.0,0.0
matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,3,595.625,1.028775611859178,1.0810834265509077,1.0182804580274305,1.0282878068210803,0.9719120136675672,1.0471707912896855,0.9464051517386969,1.028678952117497,0.9720292632062152,1.0471891644740285,239.6672088988007,252.51594558302313,104.61455600000136,103.08943100005763,266.5290150000601,252.9700639998964,29.687267714296336,27.715747999991436,0.0,2.8,2.8,0.0,4765.0,0.0,128.0,0.0,2.6862539349422874,2.6862539349422874,0.0,0.0,0.0
shared_prefix_long_out8_n2,shared_prefix_long,2,8,3,580.5,1.0542251462789023,3.004794243752293,1.0580902284955143,1.0844934136951436,0.9486334615376149,1.0727128103954942,0.9529133684612817,1.0750983435165258,0.9485639794589414,1.0725845567189403,66.4590679223638,70.28301600023299,67.0961209999632,70.99375000001373,240.45887399995536,227.40865700001223,26.154969857137594,24.923420428568274,0.0,28.1,28.1,0.0,1161.0,0.0,576.0,0.0,49.6124031007752,49.6124031007752,0.0,0.0,0.0
shared_prefix_long_out8_n4,shared_prefix_long,4,8,3,580.5,1.015451770608647,1.029574545792015,0.8996148747854614,0.9710797695905475,0.9847626851479397,0.9881524066925487,1.0124531921059976,1.0431278602977796,0.9847833535221616,0.9880880839026078,157.4481976978557,162.10465663054114,77.74095000002035,69.93691499997112,202.8558000000089,197.08412099998895,20.396354857146953,20.746846000000524,0.0,41.4,41.4,0.0,2322.0,0.0,1696.0,0.0,73.04048234280792,73.04048234280792,0.0,0.0,0.0
shared_prefix_long_out8_n8,shared_prefix_long,8,8,3,579.5,1.1100006500734867,1.1154925108143472,0.8787845778063195,0.882267684365586,0.9006531058359104,0.9147755484072931,0.7812855325757421,0.8394091035526676,0.9009003732869849,0.915004862128905,241.47367490024396,263.9042532937113,111.25250199995662,97.36127500002567,264.5574900000156,242.01072300002124,29.552366428569194,23.369242857143036,0.0,48.1,48.1,0.0,4636.0,0.0,3936.0,0.0,84.90077653149267,84.90077653149267,0.0,0.0,0.0
