pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_prefix_cache_counter_requests,cache_prefix_cache_counter_requests,cold_prefix_cache_counter_queries,cache_prefix_cache_counter_queries,cold_prefix_cache_counter_hits,cache_prefix_cache_counter_hits,cold_prefix_cache_counter_hit_rate_pct,cache_prefix_cache_counter_hit_rate_pct,cache_to_cold_prefix_cache_counter_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,isolation_call_index,isolation_phase_order,isolation_warmup_runs,isolation_warmup_prompt_profile
shared_prefix_extra_long_no_repeat_variant_out8_n16_isolated_rep00,shared_prefix_extra_long_no_repeat_variant_out8_n16,shared_prefix_extra_long_no_repeat_variant,16,8,0,0,0,1184.8125,19085,19085,247.22765236192015,447.47378447742557,200.24613211550542,1.809966564024813,346.5250109999829,94.090078999983,-252.4349319999999,0.27152464039597896,511.8300379999994,280.4411639999955,-231.38887400000385,0.5479185338473548,60.82560700000223,27.403318285714867,-33.42228871428736,0.45052272615567757,517.7414370000122,286.05027699998686,-231.69116000002532,0.5524963940639352,0.0,51.5,51.5,0,16,0,18957,0,17296,0.0,91.23806509468798,91.23806509468798,0.0,0.0,0.0,0,cold_first,1,neutral_extra_long
matched_unique_prefix_extra_long_no_repeat_variant_out8_n16_isolated_rep00,matched_unique_prefix_extra_long_no_repeat_variant_out8_n16,matched_unique_prefix_extra_long_no_repeat_variant,16,8,0,0,0,1185.125,19090,19090,298.42915078514983,300.439724519683,2.0105737345331818,1.0067371894777821,257.71706499998004,262.9143469999917,5.197282000011683,1.0201666195446237,424.0791779999995,420.99151900001175,-3.0876589999877524,0.9927191450083698,49.0757875714272,47.61763500000273,-1.4581525714244705,0.9702877397677581,428.9125229999797,426.0421959999974,-2.8703269999823533,0.9933078964915593,0.0,9.7,9.7,0,16,0,18962,0,256,0.0,1.3500685581689695,1.3500685581689695,0.0,0.0,0.0,1,cold_first,1,neutral_extra_long
shared_prefix_extra_long_no_repeat_variant_out8_n16_isolated_rep01,shared_prefix_extra_long_no_repeat_variant_out8_n16,shared_prefix_extra_long_no_repeat_variant,16,8,1,0,0,1201.875,19358,19358,281.8951035241018,464.00594252412776,182.11083900002598,1.6460234204971058,269.53670899996496,103.90497299999879,-165.63173599996617,0.3854947008350254,449.16908300001523,270.6912959999954,-178.47778700001982,0.6026489939869397,52.09860842856934,23.840142428574445,-28.258465999994897,0.4575965298816161,454.06961100002263,275.858535999987,-178.21107500003563,0.6075247700290898,0.0,51.7,51.7,0,16,0,19230,0,17536,0.0,91.19084763390536,91.19084763390536,0.0,0.0,0.0,2,cold_first,1,neutral_extra_long
matched_unique_prefix_extra_long_no_repeat_variant_out8_n16_isolated_rep01,matched_unique_prefix_extra_long_no_repeat_variant_out8_n16,matched_unique_prefix_extra_long_no_repeat_variant,16,8,1,0,0,1190.1875,19171,19171,282.2533443482037,281.3193960554401,-0.9339482927636027,0.9966910992855715,288.4380940000142,282.6741740000216,-5.763919999992595,0.9800167865483388,448.6557810000136,449.9417839999751,1.2860029999615108,1.0028663466613428,52.132443285716235,51.10757171429116,-1.0248715714250736,0.9803410025153017,453.49329800001215,454.9988439999879,1.5055459999757659,1.0033198858872128,0.0,9.7,9.7,0,16,0,19043,0,256,0.0,1.3443259990547707,1.3443259990547707,0.0,0.0,0.0,3,cold_first,1,neutral_extra_long
