request_count,max_new_tokens,shared_profile,control_profile,shared_scenario_id,control_scenario_id,shared_prompt_tokens_mean,control_prompt_tokens_mean,shared_to_control_prompt_tokens_mean_ratio,shared_cold_first_output_tokens_per_second_ratio,control_cold_first_output_tokens_per_second_ratio,shared_minus_control_cold_first_output_tokens_per_second_ratio,shared_cold_first_p95_first_event_ms_ratio,control_cold_first_p95_first_event_ms_ratio,shared_minus_control_cold_first_p95_first_event_ms_ratio,shared_cold_first_p95_latency_ms_ratio,control_cold_first_p95_latency_ms_ratio,shared_minus_control_cold_first_p95_latency_ms_ratio,shared_cold_first_p95_stream_tpot_ms_ratio,control_cold_first_p95_stream_tpot_ms_ratio,shared_minus_control_cold_first_p95_stream_tpot_ms_ratio,shared_cold_first_batch_wall_ms_ratio,control_cold_first_batch_wall_ms_ratio,shared_minus_control_cold_first_batch_wall_ms_ratio,shared_cache_first_output_tokens_per_second_ratio,control_cache_first_output_tokens_per_second_ratio,shared_minus_control_cache_first_output_tokens_per_second_ratio,shared_cache_first_p95_first_event_ms_ratio,control_cache_first_p95_first_event_ms_ratio,shared_minus_control_cache_first_p95_first_event_ms_ratio,shared_cache_first_p95_latency_ms_ratio,control_cache_first_p95_latency_ms_ratio,shared_minus_control_cache_first_p95_latency_ms_ratio,shared_cache_first_p95_stream_tpot_ms_ratio,control_cache_first_p95_stream_tpot_ms_ratio,shared_minus_control_cache_first_p95_stream_tpot_ms_ratio,shared_cache_first_batch_wall_ms_ratio,control_cache_first_batch_wall_ms_ratio,shared_minus_control_cache_first_batch_wall_ms_ratio
1,32,shared_prefix_long,matched_unique_prefix,shared_prefix_long_out32_n1,matched_unique_prefix_out32_n1,580.0,595.0,0.9747899159663865,1.0126742077054531,1.116602956300348,-0.10392874859489476,0.9694612365878837,0.8893351667514408,0.08012606983644299,0.9874508204161857,0.8955913109356932,0.09185950948049248,0.9887899188108582,0.9846698532033682,0.004120065607490009,0.9874844173881244,0.895573484162455,0.09191093322566946,1.0567311126835375,1.053579356316384,0.00315175636715348,0.9902353917116818,1.050943188526857,-0.06070779681517513,0.94768116646265,0.9502746862661354,-0.0025935198034854334,0.9430188096968841,0.9563757662894118,-0.013356956592527669,0.9463145240992571,0.9491454003961194,-0.0028308762968622947
2,32,shared_prefix_long,matched_unique_prefix,shared_prefix_long_out32_n2,matched_unique_prefix_out32_n2,580.5,596.5,0.9731768650461022,1.0951945282867241,1.0303780605809287,0.06481646770579541,0.9643633143728625,0.9608078202893371,0.003555494083525401,0.913052394836896,0.9704939049867688,-0.057441510149872754,0.9086089437517832,0.9672959513199448,-0.05868700756816159,0.9130797992246709,0.9705175588038032,-0.05743775957913233,0.9691096374170188,1.0414150483391522,-0.07230541092213338,1.0113839268420213,1.0275015842405328,-0.016117657398511565,1.0333376645296886,0.9596919624036028,0.07364570212608579,1.0434675115846925,0.9774116226899655,0.06605588889472702,1.0318749926636923,0.9602319474783846,0.07164304518530773
4,32,shared_prefix_long,matched_unique_prefix,shared_prefix_long_out32_n4,matched_unique_prefix_out32_n4,580.5,596.5,0.9731768650461022,1.0801100207296896,0.9667814287254163,0.11332859200427337,1.0001478578160599,1.0357077409065976,-0.0355598830905377,0.9258061143581776,1.0343592085438666,-0.10855309418568904,0.9197938286972044,1.0339622711420549,-0.11416844244485047,0.925831610491337,1.0343599600567197,-0.10852834956538271,0.9855714467959187,0.9291306461030948,0.05644080069282387,1.225666557760855,1.216579578276807,0.009086979484048019,1.0146834689255735,1.0761163644197014,-0.06143289549412789,0.9683294054199467,1.0465937820392124,-0.07826437661926566,1.0146397841079795,1.0762749072954825,-0.06163512318750297
8,32,shared_prefix_long,matched_unique_prefix,shared_prefix_long_out32_n8,matched_unique_prefix_out32_n8,579.5,595.625,0.9729275970619098,1.1580952364545527,1.0290137222458184,0.12908151420873426,0.6915729205485385,0.6759132547535676,0.01565966579497091,0.8633981601147178,0.9717895428809291,-0.1083913827662113,0.87090250430796,0.965786866875193,-0.09488436256723298,0.8634868433285738,0.9718043388357386,-0.10831749550716474,0.9798707700757763,1.1039430957887502,-0.12407232571297389,0.8646135000117616,0.8355472490379713,0.029066250973790342,1.0144541924417663,0.9062882030129258,0.10816598942884048,1.0081973276022878,0.885583900881916,0.12261342672037179,1.0205427394498838,0.9058437919624068,0.114698947487477
