pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_prefix_cache_counter_requests,cache_prefix_cache_counter_requests,cold_prefix_cache_counter_queries,cache_prefix_cache_counter_queries,cold_prefix_cache_counter_hits,cache_prefix_cache_counter_hits,cold_prefix_cache_counter_hit_rate_pct,cache_prefix_cache_counter_hit_rate_pct,cache_to_cold_prefix_cache_counter_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,modal_gpu,isolation_call_index,isolation_phase_order,isolation_warmup_runs,isolation_warmup_prompt_profile
shared_prefix_ultra_long_no_repeat_variant_out8_n16_isolated_rep00,shared_prefix_ultra_long_no_repeat_variant_out8_n16,shared_prefix_ultra_long_no_repeat_variant,16,8,0,0,0,1952.3125,31365,31365,63.38698346868272,395.42493229762425,332.0379488289415,6.238267080385515,887.4514529999828,125.06683099999805,-762.3846219999848,0.14092808184291797,1949.0350500000204,259.95610599997576,-1689.0789440000447,0.1333768245983945,184.33435171428414,25.079761571427234,-159.2545901428569,0.13605582105662292,2019.3420319999973,323.70240099999137,-1695.639631000006,0.16030092766374499,0.0,49.8,49.8,0,16,0,31237,0,28816,0.0,92.2495758235426,92.2495758235426,0.0,0.0,0.0,L4,0,cold_first,1,neutral_ultra_long
matched_unique_prefix_ultra_long_no_repeat_variant_out8_n16_isolated_rep00,matched_unique_prefix_ultra_long_no_repeat_variant_out8_n16,matched_unique_prefix_ultra_long_no_repeat_variant,16,8,0,0,0,1943.5625,31225,31225,141.0936906087199,149.58202464302445,8.488334034304557,1.0601609752901309,608.0704000000026,672.3195850000252,64.24918500002263,1.1056607672401457,835.1514769999824,825.6675200000245,-9.483956999957854,0.9886440277468873,93.20013185714109,91.03137299999682,-2.168758857144269,0.9767300881025728,907.1986099999947,855.7177929999966,-51.48081699999807,0.9432529807337355,0.0,5.9,5.9,0,16,0,31097,0,256,0.0,0.823230536707721,0.823230536707721,0.0,0.0,0.0,L4,1,cold_first,1,neutral_ultra_long
shared_prefix_ultra_long_no_repeat_variant_out8_n16_isolated_rep01,shared_prefix_ultra_long_no_repeat_variant_out8_n16,shared_prefix_ultra_long_no_repeat_variant,16,8,1,0,0,1948.3125,31301,31301,139.08242761036817,332.09562676966004,193.01319915929187,2.387761218117416,675.2395110000293,137.33041400001866,-537.9090970000107,0.20338029952754452,879.0134440000088,322.8612639999824,-556.1521800000264,0.36729957454436746,106.2430040000046,29.753139999992786,-76.48986400001182,0.28004799261880337,920.3175569999757,385.43115200002376,-534.886404999952,0.41880234606893835,0.0,49.9,49.9,0,16,0,31173,0,28816,0.0,92.4389696211465,92.4389696211465,0.0,0.0,0.0,L4,2,cold_first,1,neutral_ultra_long
matched_unique_prefix_ultra_long_no_repeat_variant_out8_n16_isolated_rep01,matched_unique_prefix_ultra_long_no_repeat_variant_out8_n16,matched_unique_prefix_ultra_long_no_repeat_variant,16,8,1,0,0,1951.5625,31353,31353,145.67338379196568,150.04416508971414,4.370781297748465,1.0300039800269232,612.995662000003,667.7885419999825,54.792879999979505,1.0893854286361642,839.1348679999737,828.4640120000404,-10.670855999933337,0.9872835030376385,95.30950142856553,98.04860900000482,2.739107571439291,1.0287390819423419,878.6780169999702,853.0821570000171,-25.595859999953063,0.9708700348651673,0.0,5.9,5.9,0,16,0,31225,0,256,0.0,0.8198558847077662,0.8198558847077662,0.0,0.0,0.0,L4,3,cold_first,1,neutral_ultra_long
