phase_order,prompt_profile,metric,trial_count,mean,min,max,median,p95,cv,bootstrap_mean_p05,bootstrap_mean_p50,bootstrap_mean_p95
async_first,neutral_mega_long,cache_on_minus_off_server_output_tokens_per_second,1,3.948300101829492,3.948300101829492,3.948300101829492,3.948300101829492,3.948300101829492,0.0,3.948300101829492,3.948300101829492,3.948300101829492
async_first,neutral_mega_long,cache_on_div_off_server_output_tokens_per_second,1,1.1292010799028291,1.1292010799028291,1.1292010799028291,1.1292010799028291,1.1292010799028291,0.0,1.1292010799028291,1.1292010799028291,1.1292010799028291
async_first,neutral_mega_long,cache_on_minus_off_server_p95_latency_ms,1,-953.642684999978,-953.642684999978,-953.642684999978,-953.642684999978,-953.642684999978,0.0,-953.642684999978,-953.642684999978,-953.642684999978
async_first,neutral_mega_long,cache_on_div_off_server_p95_latency_ms,1,0.8860146186177122,0.8860146186177122,0.8860146186177122,0.8860146186177122,0.8860146186177122,0.0,0.8860146186177122,0.8860146186177122,0.8860146186177122
async_first,neutral_mega_long,cache_on_minus_off_server_p95_first_content_ms,1,-936.893421000008,-936.893421000008,-936.893421000008,-936.893421000008,-936.893421000008,0.0,-936.893421000008,-936.893421000008,-936.893421000008
async_first,neutral_mega_long,cache_on_div_off_server_p95_first_content_ms,1,0.8856560638028746,0.8856560638028746,0.8856560638028746,0.8856560638028746,0.8856560638028746,0.0,0.8856560638028746,0.8856560638028746,0.8856560638028746
async_first,neutral_mega_long,cache_on_minus_off_server_p95_stream_tpot_ms,1,-572.3400501428557,-572.3400501428557,-572.3400501428557,-572.3400501428557,-572.3400501428557,0.0,-572.3400501428557,-572.3400501428557,-572.3400501428557
async_first,neutral_mega_long,cache_on_div_off_server_p95_stream_tpot_ms,1,0.427942384263567,0.427942384263567,0.427942384263567,0.427942384263567,0.427942384263567,0.0,0.427942384263567,0.427942384263567,0.427942384263567
async_first,neutral_mega_long,cache_on_minus_off_server_batch_wall_ms,1,-958.4971209999931,-958.4971209999931,-958.4971209999931,-958.4971209999931,-958.4971209999931,0.0,-958.4971209999931,-958.4971209999931,-958.4971209999931
async_first,neutral_mega_long,cache_on_div_off_server_batch_wall_ms,1,0.885581866505169,0.885581866505169,0.885581866505169,0.885581866505169,0.885581866505169,0.0,0.885581866505169,0.885581866505169,0.885581866505169
