pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,isolation_call_index,isolation_phase_order,isolation_warmup_runs
shared_prefix_long_out8_n2_isolated_rep00,shared_prefix_long_out8_n2,shared_prefix_long,2,8,0,0,0,580.5,1177,1177,10.097194712800873,62.73814763658305,52.64095292378218,6.213423571702129,731.0625909999828,109.32291400001759,-621.7396769999652,0.1495397457698942,1584.021468000003,254.5511589999876,-1329.4703090000155,0.16069931130503282,126.59972428571515,23.611802857142752,-102.9879214285724,0.18650753775620177,1584.5985400000018,255.0282500000094,-1329.5702899999924,0.16094186859468462,0.0,48.2,48.2,0.0,0.0,0.0,0,cold_first,0
shared_prefix_long_out8_n4_isolated_rep00,shared_prefix_long_out8_n4,shared_prefix_long,4,8,0,0,0,580.5,2354,2354,131.17929712590424,136.01508148824632,4.835784362342082,1.0368639295094009,120.2604220000012,112.92383699998254,-7.336585000018658,0.9389941854684446,243.47500000001787,234.80499000001487,-8.670010000003003,0.9643905534449024,20.810373857143208,20.408786857144282,-0.40158699999892633,0.980702557159439,243.9409320000152,235.26802800000723,-8.672904000007975,0.9644467046637034,0.0,72.4,72.4,0.0,0.0,0.0,1,cold_first,0
matched_unique_prefix_out8_n2_isolated_rep00,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,0,0,0,596.5,1209,1209,62.58038425912378,64.65702712292371,2.0766428637999255,1.0331836067864535,108.97135999999819,102.41230200000473,-6.559057999993456,0.9398093407295866,255.25879899998927,247.07245500002273,-8.186343999966539,0.9679292387489182,23.751248999998,23.510874428576958,-0.24037457142104302,0.9898794976457422,255.67116900000997,247.45956799995383,-8.211601000056135,0.9678821783771177,0.0,1.3,1.3,0.0,0.0,0.0,2,cold_first,0
matched_unique_prefix_out8_n4_isolated_rep00,matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,0,0,0,596.5,2418,2418,85.3457319060961,133.3141477610635,47.968415854967404,1.562048210070375,250.31571499999927,115.33368699997482,-134.98202800002446,0.46075288161582323,374.46838900001467,239.55460199999834,-134.91378700001633,0.6397191566415208,20.828898285710043,20.850449714284228,0.021551428574184683,1.001034688838486,374.9455219999618,240.0345389999643,-134.9109829999975,0.6401851066779476,0.0,2.0,2.0,0.0,0.0,0.0,3,cold_first,0
