scenario_id,prompt_profile,request_count,max_new_tokens,pairs,async_first_output_tokens_per_second_ratio,server_first_output_tokens_per_second_ratio,server_first_minus_async_first_output_tokens_per_second_ratio,async_first_p95_first_event_ms_ratio,server_first_p95_first_event_ms_ratio,server_first_minus_async_first_p95_first_event_ms_ratio,async_first_p95_latency_ms_ratio,server_first_p95_latency_ms_ratio,server_first_minus_async_first_p95_latency_ms_ratio,async_first_p95_stream_tpot_ms_ratio,server_first_p95_stream_tpot_ms_ratio,server_first_minus_async_first_p95_stream_tpot_ms_ratio,async_first_batch_wall_ms_ratio,server_first_batch_wall_ms_ratio,server_first_minus_async_first_batch_wall_ms_ratio
short_out32_n1,short,1,32,3,0.9951046037662115,0.9027252312565857,-0.0923793725096258,1.0811984185158856,1.4053019736990993,0.32410355518321365,1.0040212336192322,1.1066821964032583,0.10266096278402603,0.9982105410435305,1.0691676103752759,0.07095706933174539,1.0049194790329186,1.1077567850939636,0.10283730606104502
short_out32_n2,short,2,32,3,1.073597236151495,0.8428029816524862,-0.2307942544990087,1.2208199599317922,1.2734114158865835,0.05259145595479131,0.9306739926037395,1.185138725190641,0.2544647325869014,0.9356689220626215,1.1437351669004872,0.20806624483786562,0.9314480014727705,1.1865169224239065,0.255068920951136
short_out32_n4,short,4,32,3,1.0824965748955622,0.9018286895836638,-0.18066788531189837,1.1697743611295195,1.481653277314701,0.3118789161851816,0.9240503603025388,1.1078316615010257,0.1837813011984869,0.8999733297576045,1.0768031336605195,0.17682980390291503,0.9237904518048741,1.1088580475984389,0.1850675957935648
short_out32_n8,short,8,32,3,1.0977574429507422,0.9240479176598887,-0.17370952529085348,1.33190348311916,1.3675131563623142,0.035609673243154116,0.9098743625193632,1.0812454270884773,0.1713710645691141,0.8793374330642556,1.0579424475099242,0.17860501444566856,0.9109480481517184,1.0821949607683297,0.1712469126166113
