workload_name,workload_path,model_config,model_config_path,capacity_config,capacity_config_path,max_concurrent_requests,scheduler_policy,requests,output_tokens,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_queue_wait_ms,max_request_kv_cache_mib,total_request_kv_cache_mib,peak_active_kv_cache_mib,p95_active_kv_cache_mib,memory_pressure_duration_ms,kv_cache_budget_mib,peak_kv_budget_utilization,p95_kv_budget_utilization,kv_budget_pressure_duration_ms,kv_budget_exceeded_duration_ms,deadline_tracked_requests,deadline_miss_rate,p95_deadline_lateness_ms,requests_per_second,output_tokens_per_second
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1gb-kv,configs/capacity/tight-1gb-kv.json,4,deadline,32.0,6487.0,1070.28,3736.294,3934.591,2857.4639999999995,438.5,4102.875,1197.375,1150.875,822.9070000000002,1024.0,1.1693115234375,1.1239013671875,1792.9970000000008,625.7750000000001,32.0,0.0,0.0,7.5550366714397175,1531.5475902384203
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1gb-kv,configs/capacity/tight-1gb-kv.json,4,memory-aware-deadline,32.0,6487.0,1070.28,3736.294,3934.591,3063.5209999999993,438.5,4102.875,1067.75,1021.25,1504.7180000000003,1024.0,1.042724609375,0.997314453125,1619.8140000000008,197.51000000000022,32.0,0.0,0.0,7.5550366714397175,1531.5475902384203
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1gb-kv,configs/capacity/tight-1gb-kv.json,8,fifo,32.0,6487.0,852.1990000000002,2155.2450000000003,2311.6730000000002,908.862,438.5,4102.875,1930.5,1830.875,460.2880000000001,1024.0,1.88525390625,1.7879638671875,1778.0919999999999,1229.352,32.0,0.0625,148.3230000000001,12.046736821340492,2442.099430001118
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1gb-kv,configs/capacity/tight-1gb-kv.json,8,shortest-cache,32.0,6487.0,460.33799999999997,2140.033,2485.5469999999996,807.3130000000001,438.5,4102.875,1981.875,1820.625,305.9399999999998,1024.0,1.9354248046875,1.7779541015625,1934.1039999999998,1097.51,32.0,0.0,0.0,11.66838167568171,2365.3997478171013
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1gb-kv,configs/capacity/tight-1gb-kv.json,8,deadline,32.0,6487.0,447.3430000000001,2271.541,2422.7749999999996,776.6310000000001,438.5,4102.875,1981.5,1822.75,348.999,1024.0,1.93505859375,1.780029296875,1804.589,1056.915,32.0,0.0,0.0,11.941715472209017,2420.8096333818717
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1gb-kv,configs/capacity/tight-1gb-kv.json,8,memory-aware-deadline,32.0,6487.0,400.3270000000001,2583.5319999999997,2865.335,2263.72,438.5,4102.875,1551.25,1441.5,520.4019999999998,1024.0,1.514892578125,1.40771484375,1705.5949999999998,632.773,32.0,0.0,0.0,10.449778040183316,2118.3659420834115
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,1,fifo,32.0,6487.0,8960.471999999998,14714.226000000015,15048.952000000014,14607.838000000014,438.5,4102.875,438.5,378.125,1760.3000000000002,1229.0,0.35679414157851913,0.30766883645240034,0.0,0.0,32.0,0.8125,13416.110000000015,2.0562322987314827,416.8368413084728
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,1,shortest-cache,32.0,6487.0,3724.497999999998,15083.710000000001,15185.270999999999,14744.698999999999,438.5,4102.875,438.5,378.125,1760.2999999999993,1229.0,0.35679414157851913,0.30766883645240034,0.0,0.0,32.0,0.75,9110.503999999999,2.0562322987314845,416.83684130847314
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,1,deadline,32.0,6487.0,3830.0159999999983,14969.955000000002,15083.710000000003,14459.581000000002,438.5,4102.875,438.5,378.125,1760.2999999999993,1229.0,0.35679414157851913,0.30766883645240034,0.0,0.0,32.0,0.9375,7534.107000000002,2.056232298731484,416.8368413084731
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,1,memory-aware-deadline,32.0,6487.0,3830.0159999999983,14969.955000000002,15083.710000000003,14459.581000000002,438.5,4102.875,438.5,378.125,1760.2999999999993,1229.0,0.35679414157851913,0.30766883645240034,0.0,0.0,32.0,0.9375,7534.107000000002,2.056232298731484,416.8368413084731
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,2,fifo,32.0,6487.0,4416.341,6905.849999999996,7649.734999999999,6464.735999999996,438.5,4102.875,685.125,582.5,1236.2260000000006,1229.0,0.5574654190398698,0.47396257119609436,0.0,0.0,32.0,0.65625,5273.007999999996,3.925989695994669,795.8717236849193
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,2,shortest-cache,32.0,6487.0,1844.7659999999996,7298.638999999998,7637.433999999999,6858.066999999999,438.5,4102.875,806.5,740.125,734.1199999999999,1229.0,0.6562245728234337,0.6022172497965825,0.0,0.0,32.0,0.59375,2301.3879999999995,4.053536577657337,821.7278681019733
