pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_prefix_cache_counter_requests,cache_prefix_cache_counter_requests,cold_prefix_cache_counter_queries,cache_prefix_cache_counter_queries,cold_prefix_cache_counter_hits,cache_prefix_cache_counter_hits,cold_prefix_cache_counter_hit_rate_pct,cache_prefix_cache_counter_hit_rate_pct,cache_to_cold_prefix_cache_counter_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,modal_gpu,isolation_call_index,isolation_phase_order,isolation_warmup_runs,isolation_warmup_prompt_profile
shared_prefix_mega_long_no_repeat_variant_out8_n16_isolated_rep00,shared_prefix_mega_long_no_repeat_variant_out8_n16,shared_prefix_mega_long_no_repeat_variant,16,8,0,0,0,3608.3125,57861,57861,87.73096197840758,464.0026003285629,376.2716383501553,5.288926393429535,1267.8005100000007,117.63120800000593,-1150.1693019999948,0.09278368881552655,1435.811168999976,249.2073739999796,-1186.6037949999964,0.1735655630632469,185.49754214285485,18.801092428568772,-166.69644971428608,0.10135494094088711,1459.0060010000059,275.86052300000574,-1183.1454780000001,0.18907428948950886,0.0,48.8,48.8,0,16,0,57733,0,53776,0.0,93.14603433045225,93.14603433045225,0.0,0.0,0.0,L4,0,cold_first,1,neutral_mega_long
matched_unique_prefix_mega_long_no_repeat_variant_out8_n16_isolated_rep00,matched_unique_prefix_mega_long_no_repeat_variant_out8_n16,matched_unique_prefix_mega_long_no_repeat_variant,16,8,0,0,0,3580.0625,57409,57409,87.70699654594736,87.68314859620908,-0.023847949738282637,0.9997280952412299,1266.5714379999997,1258.8189260000036,-7.752511999996159,0.9938791356196711,1433.4246029999917,1430.2574520000064,-3.1671509999853242,0.9977905004606752,186.00239585714056,183.48260999999866,-2.5197858571418976,0.9864529387079658,1459.4046659999833,1459.8015929999804,0.3969269999970493,1.000271978711076,0.0,3.3,3.3,0,16,0,57281,0,256,0.0,0.44691957193484755,0.44691957193484755,0.0,0.0,0.0,L4,1,cold_first,1,neutral_mega_long
shared_prefix_mega_long_no_repeat_variant_out8_n16_isolated_rep01,shared_prefix_mega_long_no_repeat_variant_out8_n16,shared_prefix_mega_long_no_repeat_variant,16,8,1,0,0,3592.3125,57605,57605,87.30364250446756,409.3466596096137,322.04301710514613,4.688769538896001,1272.5538389999826,132.15165700000853,-1140.4021819999741,0.10384759603087436,1440.6559699999946,275.7756670000049,-1164.8803029999897,0.19142367972834343,186.97324428571196,21.909102285714457,-165.0641419999975,0.11717774042704943,1466.1473029999854,312.69340299996884,-1153.4539000000166,0.2132755708516772,0.0,48.7,48.7,0,16,0,57477,0,53536,0.0,93.14334429423944,93.14334429423944,0.0,0.0,0.0,L4,2,cold_first,1,neutral_mega_long
matched_unique_prefix_mega_long_no_repeat_variant_out8_n16_isolated_rep01,matched_unique_prefix_mega_long_no_repeat_variant_out8_n16,matched_unique_prefix_mega_long_no_repeat_variant,16,8,1,0,0,3588.0625,57537,57537,87.90888280011049,87.19711558209097,-0.7117672180195171,0.9919033527062566,1264.0929170000277,1278.4778140000412,14.384897000013552,1.0113796199682474,1426.5784449999614,1441.295206999996,14.716762000034578,1.010316125307806,180.8133874285675,187.5016562857143,6.688268857146795,1.0369898985482426,1456.053084999951,1467.9384649999747,11.885380000023815,1.008162738105132,0.0,3.3,3.3,0,16,0,57409,0,256,0.0,0.44592311310073335,0.44592311310073335,0.0,0.0,0.0,L4,3,cold_first,1,neutral_mega_long
shared_prefix_mega_long_no_repeat_variant_out8_n16_isolated_rep02,shared_prefix_mega_long_no_repeat_variant_out8_n16,shared_prefix_mega_long_no_repeat_variant,16,8,2,0,0,3583.3125,57461,57461,87.1027620101433,410.6610298306968,323.5582678205535,4.714672880096208,1282.2605270000054,159.08645199999683,-1123.1740750000085,0.12406718342347925,1441.2468259999969,250.3154249999966,-1190.9314010000003,0.17367977537526744,185.9324774285694,19.726956857149553,-166.20552057141984,0.10609742380659751,1469.528600999979,311.69259000000693,-1157.8360109999721,0.21210379286793574,0.0,48.6,48.6,0,16,0,57333,0,53296,0.0,92.95867999232553,92.95867999232553,0.0,0.0,0.0,L4,4,cold_first,1,neutral_mega_long
matched_unique_prefix_mega_long_no_repeat_variant_out8_n16_isolated_rep02,matched_unique_prefix_mega_long_no_repeat_variant_out8_n16,matched_unique_prefix_mega_long_no_repeat_variant,16,8,2,0,0,3579.0625,57393,57393,87.3957459816126,88.62254969398829,1.226803712375684,1.014037338987115,1251.8778629999474,1254.3168880000053,2.4390250000578817,1.0019482930980288,1438.5701049999966,1415.3640530000189,-23.206051999977717,0.983868667978487,186.45906314286063,182.87271685714555,-3.5863462857150807,0.9807660393371852,1464.6021789999963,1444.3276620000347,-20.274516999961634,0.986156980174777,0.0,3.3,3.3,0,16,0,57265,0,256,0.0,0.4470444425041474,0.4470444425041474,0.0,0.0,0.0,L4,5,cold_first,1,neutral_mega_long
