pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,async_run_order,server_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_async,estimated_peak_sequence_tokens_server,async_output_tokens_per_second,server_output_tokens_per_second,server_to_async_output_tokens_per_second_delta,server_to_async_output_tokens_per_second_ratio,async_p95_first_event_ms,server_p95_first_content_ms,server_to_async_p95_first_event_ms_delta,server_to_async_p95_first_event_ms_ratio,async_p95_latency_ms,server_p95_latency_ms,server_to_async_p95_latency_ms_delta,server_to_async_p95_latency_ms_ratio,async_p95_stream_tpot_ms,server_p95_stream_tpot_ms,server_to_async_p95_stream_tpot_ms_delta,server_to_async_p95_stream_tpot_ms_ratio,async_batch_wall_ms,server_batch_wall_ms,server_to_async_batch_wall_ms_delta,server_to_async_batch_wall_ms_ratio
short_out32_n1_rep00,short_out32_n1,short,1,32,0,10,10,44.0,76,76,48.521641931302455,49.9507547216408,1.429112790338344,1.029453100378625,44.202856999987716,50.37059299999669,6.167736000008972,1.1395325193575312,659.309372999985,639.7179239999957,-19.591448999989325,0.9702848923399277,19.842145677419268,19.01120422580642,-0.8309414516128477,0.9581223994057017,659.4995289999872,640.6309609999994,-18.868567999987818,0.97138956561713
short_out32_n1_rep01,short_out32_n1,short,1,32,1,7,7,44.0,76,76,49.08450789377931,51.375945103057276,2.291437209277966,1.0466835119186022,40.756761000011466,49.68215400000986,8.925392999998394,1.2189917152640242,651.7097660000104,622.0853700000077,-29.624396000002662,0.9545435751533572,19.70816145161287,18.464619870967674,-1.2435415806451964,0.936902202486096,651.9368609999958,622.859587999983,-29.077273000012838,0.9553986363719155
short_out32_n1_rep02,short_out32_n1,short,1,32,2,9,9,44.0,76,76,48.81584804065979,50.09413376528746,1.278285724627672,1.0261858756107844,42.7344799999787,48.493363999995154,5.758884000016451,1.1347596601156564,655.3254949999996,638.0035459999931,-17.321949000006498,0.9735674117180402,19.76100048387164,19.0164574838709,-0.7445430000007391,0.9623226060538578,655.5248199999824,638.7973520000116,-16.727467999970713,0.9744823270002635
short_out32_n2_rep00,short_out32_n2,short,2,32,0,11,11,43.5,151,151,81.99511781338305,93.76119004092999,11.766072227546942,1.1434972293634111,69.6865980000041,74.39601499999071,4.709416999986615,1.0675799527476766,780.2626560000192,681.6023380000047,-98.66031800001451,0.8735549917180554,23.683366774193818,20.240128838709794,-3.4432379354840243,0.8546136633227379,780.5342770000152,682.5851930000226,-97.94908399999258,0.8745102080891821
short_out32_n2_rep01,short_out32_n2,short,2,32,1,2,2,43.5,151,151,97.00066472584959,96.54093061221482,-0.4597341136347666,0.995260505534327,61.60707200001525,69.94242000001805,8.335348000002796,1.1352985579318027,658.9650600000141,661.9956580000235,3.030598000009377,1.0045990268437135,19.881400709677212,19.699673096774237,-0.181727612902975,0.9908594160161703,659.7892930000171,662.9312519999928,3.1419589999757136,1.004762064242797
short_out32_n2_rep02,short_out32_n2,short,2,32,2,0,0,43.5,151,151,87.23288809203736,55.644003389516335,-31.58888470252102,0.637878724487577,66.95285699998976,74.2420750000008,7.289218000011033,1.1088709029998847,733.4410359999879,1149.3222809999963,415.88124500000845,1.5670275108523044,22.16650767741891,35.36546680645129,13.198959129032378,1.5954460360247997,733.6682460000077,1150.1688609999974,416.5006149999897,1.5676961177899817
short_out32_n4_rep00,short_out32_n4,short,4,32,0,1,1,43.25,301,301,190.36060617890206,188.98936836765023,-1.3712378112518309,0.9927966303597335,67.28977299999883,89.01306100000284,21.723288000004004,1.32283194059823,672.1055589999878,676.4038320000054,4.298273000017616,1.0063952350080438,20.171310129032257,19.604488483871076,-0.5668216451611805,0.9718996117983748,672.4080289999961,677.2867759999883,4.878746999992245,1.0072556346586876
short_out32_n4_rep01,short_out32_n4,short,4,32,1,3,3,43.25,301,301,187.02768386698372,190.46321857055318,3.4355347035694592,1.0183691239314756,64.66119099999901,77.87717600001542,13.215985000016417,1.2043882086863607,684.0868559999933,671.2136290000217,-12.873226999971621,0.9811818822609102,20.63881274193499,19.785832032258007,-0.8529807096769844,0.9586710378962907,684.3906600000196,672.0457680000038,-12.344892000015761,0.9819622143878828
short_out32_n4_rep02,short_out32_n4,short,4,32,2,4,4,43.25,301,301,188.25797255893926,188.2518982119103,-0.006074347028970806,0.9999677339188009,66.13077299999759,78.58477400000652,12.45400100000893,1.1883238382834174,679.5932670000013,678.7405200000194,-0.8527469999819459,0.9987452097579684,20.453851258065104,20.05817119354909,-0.39568006451601434,0.9806549847496326,679.9180840000076,679.9400230000003,0.021938999992698882,1.0000322671223327
short_out32_n8_rep00,short_out32_n8,short,8,32,0,6,6,45.25,618,618,368.795093501664,371.3955785272243,2.6004850255603174,1.0070513004955381,68.80636799999706,84.56193000000667,15.755562000009604,1.228984067288805,693.7574589999826,688.2990549999874,-5.458403999995198,0.9921321148635097,20.823082870967642,20.162731322580115,-0.6603515483875277,0.9682875224346239,694.1524020000145,689.291996999998,-4.860405000016499,0.9929980722014178
short_out32_n8_rep01,short_out32_n8,short,8,32,1,8,8,45.25,618,618,368.220659060644,308.4682001289299,-59.7524589317141,0.8377264896430671,67.7593930000171,217.56308499999477,149.80369199997767,3.2108180927763015,694.8155759999963,828.9644220000127,134.14884600001642,1.1930711553306013,20.905104612903497,20.400745322580214,-0.5043592903232827,0.9758738691021919,695.2352989999895,829.9072639999849,134.67196499999545,1.1937070301144153
short_out32_n8_rep02,short_out32_n8,short,8,32,2,5,5,45.25,618,618,354.68329819139586,369.205098826259,14.521800634863155,1.0409430066454013,69.24019000001636,91.52345700002229,22.283267000005935,1.321825618907179,721.3738519999993,691.9262270000104,-29.447624999988875,0.9591784136362225,21.687801645161045,20.09606877419401,-1.5917328709670358,0.9266069979332284,721.7706650000082,693.3815399999901,-28.38912500001811,0.9606673887196319
