phase_order,prompt_profile,metric,trial_count,mean,min,max,median,p95,cv,bootstrap_mean_p05,bootstrap_mean_p50,bootstrap_mean_p95
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_output_tokens_per_second,2,-0.16822174066467177,-0.23756741033657747,-0.09887607099276607,-0.23756741033657747,-0.09887607099276607,0.41222775009882523,-0.23756741033657747,-0.16822174066467177,-0.09887607099276607
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_output_tokens_per_second,2,0.9945789300883067,0.992228501847693,0.9969293583289204,0.992228501847693,0.9969293583289204,0.002363239527309332,0.992228501847693,0.9945789300883067,0.9969293583289204
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_latency_ms,2,46.58655149999822,27.13826899997639,66.03483400002006,27.13826899997639,66.03483400002006,0.4174655962681113,27.13826899997639,46.58655149999822,66.03483400002006
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_latency_ms,2,1.005657861286773,1.0034183730549386,1.0078973495186074,1.0034183730549386,1.0078973495186074,0.0022268888038809703,1.0034183730549386,1.005657861286773,1.0078973495186074
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_first_content_ms,2,62.58811600000081,61.68581400001494,63.490417999986676,61.68581400001494,63.490417999986676,0.014416506801161013,61.68581400001494,62.58811600000081,63.490417999986676
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_first_content_ms,2,1.0078353034699896,1.0075237255070957,1.0081468814328833,1.0075237255070957,1.0081468814328833,0.00030915563467667854,1.0075237255070957,1.0078353034699896,1.0081468814328833
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_stream_tpot_ms,2,8.72717292857314,6.8231497142830335,10.631196142863246,6.8231497142830335,10.631196142863246,0.21817182149058284,6.8231497142830335,8.72717292857314,10.631196142863246
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_stream_tpot_ms,2,1.0316444053657123,1.0253700931118936,1.037918717619531,1.0253700931118936,1.037918717619531,0.0060818555513752655,1.0253700931118936,1.0316444053657123,1.037918717619531
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_batch_wall_ms,2,45.03970149998804,24.487399000008736,65.59200399996735,24.487399000008736,65.59200399996735,0.45631524667153406,24.487399000008736,45.03970149998804,65.59200399996735
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_batch_wall_ms,2,1.0054562334670272,1.0030800995531184,1.0078323673809362,1.0030800995531184,1.0078323673809362,0.0023632395273093885,1.0030800995531184,1.0054562334670272,1.0078323673809362
async_first,matched_unique_prefix_mega_long_no_repeat_variant,on_server_prefix_cache_counter_queries,2,211794.5,211529.0,212060.0,211529.0,212060.0,0.0012535736291546759,211529.0,211794.5,212060.0
async_first,matched_unique_prefix_mega_long_no_repeat_variant,on_server_prefix_cache_counter_hits,2,928.0,928.0,928.0,928.0,928.0,0.0,928.0,928.0,928.0
async_first,matched_unique_prefix_mega_long_no_repeat_variant,on_server_prefix_cache_counter_hit_rate_pct,2,0.4381612640106153,0.4376119966047345,0.43871053141649613,0.4376119966047345,0.43871053141649613,0.0012535736291547537,0.4376119966047345,0.4381612640106153,0.43871053141649613
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_prefix_cache_counter_hit_rate_pct,2,0.4381612640106153,0.4376119966047345,0.43871053141649613,0.4376119966047345,0.43871053141649613,0.0012535736291547537,0.4376119966047345,0.4381612640106153,0.43871053141649613
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_output_tokens_per_second,2,240.21838510858004,220.208371361233,260.2283988559271,220.208371361233,260.2283988559271,0.08329926012241906,220.208371361233,240.21838510858004,260.2283988559271
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_output_tokens_per_second,2,8.466668933349023,7.824314643092485,9.109023223605563,7.824314643092485,9.109023223605563,0.07586859664801529,7.824314643092485,8.466668933349023,9.109023223605563
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_latency_ms,2,-6999.040518000002,-7093.930497999963,-6904.150538000039,-7093.930497999963,-6904.150538000039,0.013557569749157174,-7093.930497999963,-6999.040518000002,-6904.150538000039
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_latency_ms,2,0.11871417011081817,0.10956384004516671,0.1278645001764696,0.10956384004516671,0.1278645001764696,0.07707866766966177,0.10956384004516671,0.11871417011081817,0.1278645001764696
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_first_content_ms,2,-7000.440144500004,-7115.499534999998,-6885.380754000011,-7115.499534999998,-6885.380754000011,0.016436022325023628,-7115.499534999998,-7000.440144500004,-6885.380754000011
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_first_content_ms,2,0.10541158060471126,0.09400800328133439,0.11681515792808814,0.09400800328133439,0.11681515792808814,0.10818144702847954,0.09400800328133439,0.10541158060471126,0.11681515792808814
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_stream_tpot_ms,2,-246.4956405714308,-255.29061928571653,-237.7006618571451,-255.29061928571653,-237.7006618571451,0.03568005784563587,-255.29061928571653,-246.4956405714308,-237.7006618571451
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_stream_tpot_ms,2,0.09102662274925367,0.058009071064457005,0.12404417443405034,0.058009071064457005,0.12404417443405034,0.3627241205657867,0.058009071064457005,0.09102662274925367,0.12404417443405034
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_batch_wall_ms,2,-7010.529318499991,-7101.507577999968,-6919.551059000014,-7101.507577999968,-6919.551059000014,0.01297737379970663,-7101.507577999968,-7010.529318499991,-6919.551059000014
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_batch_wall_ms,2,0.11879398801709279,0.10978125485601481,0.12780672117817077,0.10978125485601481,0.12780672117817077,0.07586859664801533,0.10978125485601481,0.11879398801709279,0.12780672117817077
async_first,shared_prefix_mega_long_no_repeat_variant,on_server_prefix_cache_counter_queries,2,114847.0,114703.0,114991.0,114703.0,114991.0,0.0012538420681428334,114703.0,114847.0,114991.0
async_first,shared_prefix_mega_long_no_repeat_variant,on_server_prefix_cache_counter_hits,2,110488.0,110240.0,110736.0,110240.0,110736.0,0.002244587647527333,110240.0,110488.0,110736.0
async_first,shared_prefix_mega_long_no_repeat_variant,on_server_prefix_cache_counter_hit_rate_pct,2,96.20439606375295,96.1090817153867,96.29971041211921,96.1090817153867,96.29971041211921,0.0009907483677055204,96.1090817153867,96.20439606375295,96.29971041211921
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_prefix_cache_counter_hit_rate_pct,2,96.20439606375295,96.1090817153867,96.29971041211921,96.1090817153867,96.29971041211921,0.0009907483677055204,96.1090817153867,96.20439606375295,96.29971041211921
