pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio
shared_prefix_out32_n1_rep00,shared_prefix_out32_n1,shared_prefix,1,32,0,10,10,226.0,258,258,40.89156936533721,49.78954077807427,8.897971412737057,1.2175991665479988,59.26787500001751,42.5543320000088,-16.713543000008713,0.7179999620367058,782.2389800000167,642.5266730000203,-139.71230699999637,0.8213943429410877,23.32164854838707,19.35394648387134,-3.9677020645157306,0.8298704289157064,782.5573949999978,642.7052649999894,-139.8521300000084,0.8212883414129531
shared_prefix_out32_n1_rep01,shared_prefix_out32_n1,shared_prefix,1,32,1,7,7,226.0,258,258,41.431695598525614,47.88501725156425,6.4533216530386355,1.1557580871314443,47.058991000000105,44.795448000002125,-2.2635429999979806,0.9518998824263364,772.1340700000212,668.0906820000132,-104.04338800000801,0.8652521731102927,23.389518677420035,20.1062978709681,-3.2832208064519364,0.8596285433773582,772.3555489999967,668.2674840000118,-104.08806499998491,0.8652329679837837
shared_prefix_out32_n1_rep02,shared_prefix_out32_n1,shared_prefix,1,32,2,9,9,226.0,258,258,37.588694724564974,49.60371914301092,12.015024418445947,1.3196446300273865,83.34258799999361,41.105329000004076,-42.237258999989535,0.49320917416204096,851.0701470000015,644.7472620000099,-206.32288499999163,0.7575724095983463,24.765405129032512,19.472320419355025,-5.293084709677487,0.7862710227392001,851.3197979999916,645.1129179999953,-206.20687999999632,0.757779766799223
shared_prefix_out32_n2_rep00,shared_prefix_out32_n2,shared_prefix,2,32,0,11,11,226.5,517,517,78.24516966129424,89.0022749440392,10.75710528274496,1.1374794805776516,74.88789100000304,67.22516900001096,-7.662721999992073,0.8976774229095094,817.5445619999948,718.8527129999898,-98.69184900000505,0.8792826060042882,24.48133925806466,21.668609096774244,-2.8127301612904176,0.885107177689887,817.9418649999946,719.0827430000013,-98.85912199999325,0.8791367379147491
shared_prefix_out32_n2_rep01,shared_prefix_out32_n2,shared_prefix,2,32,1,2,2,226.5,517,517,82.6490220302635,88.63266895397093,5.98364692370744,1.0723982786089885,75.89972400000988,71.94970199998352,-3.9500220000263653,0.947957360160811,773.9552959999969,721.8153359999917,-52.1399600000052,0.9326318196031759,23.131044290322727,21.66548719354787,-1.4655570967748552,0.9366411183870329,774.3588300000113,722.0813810000095,-52.27744900000175,0.9324893744673888
shared_prefix_out32_n2_rep02,shared_prefix_out32_n2,shared_prefix,2,32,2,0,0,226.5,517,517,68.74074537437593,46.11615642798923,-22.6245889463867,0.670870764883787,114.36558400001218,77.57708699998034,-36.78849700003184,0.6783254567210716,930.7546400000035,1387.5648850000175,456.810245000014,1.490795560256366,27.688098612902795,42.94604348387104,15.257944870968242,1.5510651014460763,931.0344200000031,1387.7999589999774,456.7655389999743,1.490600056440419
shared_prefix_out32_n4_rep00,shared_prefix_out32_n4,shared_prefix,4,32,0,1,1,226.5,1034,1034,134.87732805855083,160.9002910299114,26.022962971360556,1.1929380077878164,73.78773599998567,84.39515599999936,10.60742000001369,1.1437558675064343,947.5570019999964,794.6953089999909,-152.86169300000552,0.8386781030825984,28.850762806451904,23.66478051612922,-5.185982290322684,0.8202480008894967,949.0104959999996,795.5237319999924,-153.48676400000727,0.8382665264009816
shared_prefix_out32_n4_rep01,shared_prefix_out32_n4,shared_prefix,4,32,1,3,3,226.5,1034,1034,156.28276348329823,172.91864847649535,16.635884993197124,1.1064473434076112,83.33700800000088,74.60994199999504,-8.727066000005834,0.8952798257407353,818.7099920000094,738.5642510000139,-80.1457409999955,0.9021072885598853,24.443053322580646,22.20775638709659,-2.2352969354840546,0.9085508301281218,819.0282609999997,740.2324799999747,-78.79578100002504,0.9037935749569634
shared_prefix_out32_n4_rep02,shared_prefix_out32_n4,shared_prefix,4,32,2,4,4,226.5,1034,1034,162.61897534556098,174.97820977899406,12.359234433433073,1.0760011825629205,75.52548400002479,78.02275000000236,2.4972659999775715,1.0330652101478324,786.7992749999928,731.2293140000179,-55.56996099997491,0.9293721248027644,23.649625677418932,21.72687738709739,-1.9227482903215432,0.9186985740684507,787.1160159999988,731.5196569999785,-55.59635900002036,0.9293670083318182
shared_prefix_out32_n8_rep00,shared_prefix_out32_n8,shared_prefix,8,32,0,6,6,225.5,2043,2043,273.91017878738387,327.40287635454564,53.49269756716177,1.1952928430917646,88.24748600000021,81.8172870000069,-6.4301989999933085,0.9271344795024156,869.8346049999941,729.5970320000151,-140.23757299997897,0.8387767373315989,25.603305387096864,21.86024477419327,-3.7430606129035944,0.8538055709482745,872.5488080000048,729.9874779999982,-142.5613300000066,0.8366150653202132
