scenario_id,prompt_profile,request_count,max_new_tokens,pairs,prompt_tokens_mean,cache_to_cold_output_tokens_per_second_ratio_median,cache_to_cold_output_tokens_per_second_ratio_p95,cache_to_cold_p95_first_event_ms_ratio_median,cache_to_cold_p95_first_event_ms_ratio_p95,cache_to_cold_p95_latency_ms_ratio_median,cache_to_cold_p95_latency_ms_ratio_p95,cache_to_cold_p95_stream_tpot_ms_ratio_median,cache_to_cold_p95_stream_tpot_ms_ratio_p95,cache_to_cold_batch_wall_ms_ratio_median,cache_to_cold_batch_wall_ms_ratio_p95,cold_output_tokens_per_second_median,cache_output_tokens_per_second_median,cold_p95_first_event_ms_median,cache_p95_first_event_ms_median,cold_p95_latency_ms_median,cache_p95_latency_ms_median,cold_p95_stream_tpot_ms_median,cache_p95_stream_tpot_ms_median
shared_prefix_out32_n1,shared_prefix,1,32,3,226.0,1.2175991665479988,1.3196446300273865,0.7179999620367058,0.9518998824263364,0.8213943429410877,0.8652521731102927,0.8298704289157064,0.8596285433773582,0.8212883414129531,0.8652329679837837,40.89156936533721,49.60371914301092,59.26787500001751,42.5543320000088,782.2389800000167,644.7472620000099,23.389518677420035,19.472320419355025
shared_prefix_out32_n2,shared_prefix,2,32,3,226.5,1.0723982786089885,1.1374794805776516,0.8976774229095094,0.947957360160811,0.9326318196031759,1.490795560256366,0.9366411183870329,1.5510651014460763,0.9324893744673888,1.490600056440419,78.24516966129424,88.63266895397093,75.89972400000988,71.94970199998352,817.5445619999948,721.8153359999917,24.48133925806466,21.668609096774244
shared_prefix_out32_n4,shared_prefix,4,32,3,226.5,1.1064473434076112,1.1929380077878164,1.0330652101478324,1.1437558675064343,0.9021072885598853,0.9293721248027644,0.9085508301281218,0.9186985740684507,0.9037935749569634,0.9293670083318182,156.28276348329823,172.91864847649535,75.52548400002479,78.02275000000236,818.7099920000094,738.5642510000139,24.443053322580646,22.20775638709659
shared_prefix_out32_n8,shared_prefix,8,32,3,225.5,1.1952928430917646,1.392090868055547,0.9271344795024156,1.051519132880646,0.8387767373315989,0.9401228363695638,0.8538055709482745,0.9174546297078806,0.8366150653202132,0.9413874276356976,273.91017878738387,327.40287635454564,88.24748600000021,80.03658699999505,869.8346049999941,729.5970320000151,25.603305387096864,21.86024477419327
