request_count,max_new_tokens,shared_profile,control_profile,shared_cache_hit_rate_pct_mean,control_cache_hit_rate_pct_mean,shared_minus_control_cache_hit_rate_pct,shared_cache_counter_queries_mean,control_cache_counter_queries_mean,shared_cache_counter_hits_mean,control_cache_counter_hits_mean,shared_cache_counter_hit_rate_pct_mean,control_cache_counter_hit_rate_pct_mean,shared_minus_control_cache_counter_hit_rate_pct,shared_cache_counter_hit_rate_pct_population_stdev,control_cache_counter_hit_rate_pct_population_stdev,shared_cache_hit_rate_pct_population_stdev,control_cache_hit_rate_pct_population_stdev,shared_cache_to_cold_throughput_ratio_mean,control_cache_to_cold_throughput_ratio_mean,shared_minus_control_cache_to_cold_throughput_ratio_mean,shared_cache_to_cold_p95_latency_ratio_mean,control_cache_to_cold_p95_latency_ratio_mean,shared_minus_control_cache_to_cold_p95_latency_ratio_mean,shared_minus_control_cache_hit_rate_pct_paired_observation_count,shared_minus_control_cache_hit_rate_pct_mean,shared_minus_control_cache_hit_rate_pct_min,shared_minus_control_cache_hit_rate_pct_max,shared_minus_control_cache_hit_rate_pct_population_stdev,shared_minus_control_cache_hit_rate_pct_bootstrap_mean_p05,shared_minus_control_cache_hit_rate_pct_bootstrap_mean_p50,shared_minus_control_cache_hit_rate_pct_bootstrap_mean_p95,shared_minus_control_cache_counter_hit_rate_pct_paired_observation_count,shared_minus_control_cache_counter_hit_rate_pct_mean,shared_minus_control_cache_counter_hit_rate_pct_min,shared_minus_control_cache_counter_hit_rate_pct_max,shared_minus_control_cache_counter_hit_rate_pct_population_stdev,shared_minus_control_cache_counter_hit_rate_pct_bootstrap_mean_p05,shared_minus_control_cache_counter_hit_rate_pct_bootstrap_mean_p50,shared_minus_control_cache_counter_hit_rate_pct_bootstrap_mean_p95,shared_minus_control_cache_to_cold_throughput_ratio_paired_observation_count,shared_minus_control_cache_to_cold_throughput_ratio_min,shared_minus_control_cache_to_cold_throughput_ratio_max,shared_minus_control_cache_to_cold_throughput_ratio_population_stdev,shared_minus_control_cache_to_cold_throughput_ratio_bootstrap_mean_p05,shared_minus_control_cache_to_cold_throughput_ratio_bootstrap_mean_p50,shared_minus_control_cache_to_cold_throughput_ratio_bootstrap_mean_p95,shared_minus_control_cache_to_cold_p95_latency_ratio_paired_observation_count,shared_minus_control_cache_to_cold_p95_latency_ratio_min,shared_minus_control_cache_to_cold_p95_latency_ratio_max,shared_minus_control_cache_to_cold_p95_latency_ratio_population_stdev,shared_minus_control_cache_to_cold_p95_latency_ratio_bootstrap_mean_p05,shared_minus_control_cache_to_cold_p95_latency_ratio_bootstrap_mean_p50,shared_minus_control_cache_to_cold_p95_latency_ratio_bootstrap_mean_p95
2,8,shared_prefix_long_variant,matched_unique_prefix_variant,20.3,2.966666666666667,17.333333333333336,659.3333333333334,677.3333333333334,309.3333333333333,32.0,46.914865181455525,4.726791510223829,42.1880736712317,0.060601757850594316,0.1052748255869947,0.282842712474618,0.04714045207910321,1.4753483542961041,1.0009718402777692,0.4743765140183349,0.989193962775384,1.0048291584223337,-0.01563519564694993,3,17.333333333333332,17.1,17.8,0.32998316455372184,17.1,17.333333333333332,17.566666666666666,3,42.1880736712317,42.04369309952112,42.41175247206519,0.1603809678773361,42.065387213717,42.1880736712317,42.31076012874638,3,-0.25248369642903057,1.9015366189070617,1.009212840563075,-0.24363025776036248,0.4743765140183349,1.1923832857970325,3,-0.682997464957726,0.40890596270868107,0.4776922599202198,-0.37960300486908566,-0.01563519564694993,0.3483326135751857
4,8,shared_prefix_long_variant,matched_unique_prefix_variant,29.400000000000002,3.466666666666667,25.933333333333337,1317.3333333333333,1353.3333333333333,896.0,64.0,68.0134074625874,4.731491967130135,63.28191549545726,0.1373791050285559,0.10633223337802145,0.42426406871192784,0.04714045207910321,0.9323808083402733,0.9772151646005521,-0.044834356260278874,1.075452300790252,1.023583102605187,0.05186919818506482,3,25.933333333333337,25.6,26.6,0.4714045207910317,25.600000000000005,25.933333333333337,26.26666666666667,3,63.28191549545727,63.04768173539144,63.603912445951934,0.23540735479638258,63.09650525860377,63.28191549545727,63.46732573231076,3,-0.08634762559636189,-0.01223020951236442,0.03090714254785737,-0.06954016162161136,-0.044834356260278874,-0.020128550898946385,3,0.013061635264099536,0.10217166111741594,0.037275986207373935,0.022165856233959353,0.05186919818506482,0.08157254013617028
8,8,shared_prefix_long_variant,matched_unique_prefix_variant,34.0,3.7000000000000006,30.3,2631.3333333333335,2702.3333333333335,2069.3333333333335,128.0,78.6385362054275,4.739106874853726,73.89942933057377,0.17440487613969577,0.10710560767797833,0.49665548085837835,0.0,0.9957781568683478,0.9955252793185653,0.00025287754978272253,1.0054132632000754,1.0071971315108705,-0.0017838683107952447,3,30.3,29.900000000000002,31.000000000000004,0.49665548085837835,29.933333333333337,30.3,30.66666666666667,3,73.89942933057377,73.61690368411026,74.26470568849764,0.2708598892508512,73.68349532911131,73.89942933057377,74.11536333203624,3,-0.016261011825616567,0.03062921685519926,0.0215065730259608,-0.015377198677155887,0.00025287754978272253,0.01588295377672133,3,-0.034355251280219656,0.014769750672417259,0.02303248469083229,-0.018158868961674218,-0.0017838683107952447,0.014591132340083727
