scenario_id,prompt_profile,request_count,max_new_tokens,pairs,prompt_tokens_mean,cache_to_cold_output_tokens_per_second_ratio_median,cache_to_cold_output_tokens_per_second_ratio_p95,cache_to_cold_p95_first_event_ms_ratio_median,cache_to_cold_p95_first_event_ms_ratio_p95,cache_to_cold_p95_latency_ms_ratio_median,cache_to_cold_p95_latency_ms_ratio_p95,cache_to_cold_p95_stream_tpot_ms_ratio_median,cache_to_cold_p95_stream_tpot_ms_ratio_p95,cache_to_cold_batch_wall_ms_ratio_median,cache_to_cold_batch_wall_ms_ratio_p95,cold_output_tokens_per_second_median,cache_output_tokens_per_second_median,cold_p95_first_event_ms_median,cache_p95_first_event_ms_median,cold_p95_latency_ms_median,cache_p95_latency_ms_median,cold_p95_stream_tpot_ms_median,cache_p95_stream_tpot_ms_median,cold_prefix_cache_hit_rate_pct_median,cache_prefix_cache_hit_rate_pct_median,cache_to_cold_prefix_cache_hit_rate_pct_delta_median,cold_gpu_kv_cache_usage_pct_median,cache_gpu_kv_cache_usage_pct_median,cache_to_cold_gpu_kv_cache_usage_pct_delta_median
matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,2,596.5,0.9787708127401364,1.2930029858158385,0.8583709156780222,1.0283443594962434,0.773377897382135,1.022199543548066,0.7373662625452317,1.0152559402639953,0.7733934190175407,1.0216896407039673,44.48819685595207,57.52337136830882,111.7434669999966,114.91076400000111,259.8398019999877,265.60812700000724,24.56929614286147,24.944123857145378,0.0,1.3,1.3,0.0,0.0,0.0
matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,2,596.5,0.9933635462299798,1.5325803963973728,0.47102749755400475,1.0411451788828465,0.6515829281986582,1.0067529753037128,0.9823285293563981,1.0323035054228444,0.6524943176558266,1.006680790527503,78.91630940185108,120.94558874530665,114.86167099997147,119.58767500004797,241.7167139999492,243.3490210000855,20.52222214285848,20.77997100000825,0.0,2.0,2.0,0.0,0.0,0.0
matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,2,595.625,0.8467614889227434,0.9337598319909916,1.112582390616655,1.2048939371772676,1.070871262896014,1.181425590778546,0.9718762385263714,1.0717394379368568,1.0709391920059028,1.1809700997056538,188.08112678388088,159.25985495378623,196.29981100001714,218.3997129999966,339.32371200000944,363.37201200001346,29.427607000002354,28.599991999994604,0.0,2.4,2.4,0.0,0.0,0.0
shared_prefix_long_out8_n2,shared_prefix_long,2,8,2,580.5,1.002443333242571,4.757935282964866,0.17391677481635168,1.038240386031872,0.2099576065958334,0.9976013012819451,0.2733059088482451,0.9735723211778853,0.2101752000663739,0.9975626220839159,13.216457850638712,62.05340022423439,105.86624299997993,107.14165400000297,258.0144789999963,253.98828699999854,24.626572285715806,23.915770714288392,0.0,48.2,48.2,0.0,0.0,0.0
shared_prefix_long_out8_n4,shared_prefix_long,4,8,2,580.5,0.9138923016757118,0.915445578306024,0.9496928314482627,1.1211905603490275,1.0918642368600386,1.094238554738428,1.002499427830729,1.211429927253578,1.0923642253539951,1.0942208378015674,127.36805574932026,116.50462517719052,125.16365099997984,121.204898999963,250.49252999997407,273.74668099997734,20.624540714282244,21.020234999996642,0.0,72.4,72.4,0.0,0.0,0.0
shared_prefix_long_out8_n8,shared_prefix_long,8,8,2,579.5,0.9181024098898704,1.0684677464990464,0.8132067358181658,0.9870468757212795,0.9357738553182025,1.0892580980438926,0.9130494958010738,0.9424038781731096,0.9359196880547975,1.0892031098360297,160.76258859238095,171.76964075465457,184.34826600002907,181.96037999996406,327.2666530000379,356.4778520000118,29.949712428568937,28.224725142852744,0.0,84.6,84.6,0.0,0.0,0.0
