pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,isolation_call_index,isolation_phase_order,isolation_warmup_runs
shared_prefix_long_out8_n2_isolated_rep00,shared_prefix_long_out8_n2,shared_prefix_long,2,8,0,0,0,580.5,1177,1177,13.216457850638712,62.88305112337192,49.66659327273321,4.757935282964866,616.0512929999982,107.14165400000297,-508.9096389999952,0.17391677481635168,1209.7122419999948,253.98828699999854,-955.7239549999963,0.2099576065958334,87.50550185714344,23.915770714288392,-63.58973114285505,0.2733059088482451,1210.611813000014,254.4405799999936,-956.1712330000205,0.2101752000663739,0.0,48.2,48.2,0.0,0.0,0.0,0,cold_first,0
shared_prefix_long_out8_n4_isolated_rep00,shared_prefix_long_out8_n4,shared_prefix_long,4,8,0,0,0,580.5,2354,2354,127.36805574932026,116.59852345315039,-10.76953229616987,0.915445578306024,125.16365099997984,140.33230399999752,15.168653000017684,1.1211905603490275,250.71494400000915,273.74668099997734,23.03173699996819,1.0918642368600386,20.967827428571745,21.020234999996642,0.05240757142489727,1.002499427830729,251.24038999999243,274.44601399997737,23.205623999984937,1.0923642253539951,0.0,72.4,72.4,0.0,0.0,0.0,1,cold_first,0
shared_prefix_long_out8_n8_isolated_rep00,shared_prefix_long_out8_n8,shared_prefix_long,8,8,0,0,0,579.5,4700,4700,195.17771908734807,179.1931342509024,-15.984584836445663,0.9181024098898704,184.34826600002907,181.96037999996406,-2.3878860000650093,0.9870468757212795,327.2666530000379,356.4778520000118,29.21119899997393,1.0892580980438926,29.949712428568937,28.224725142852744,-1.7249872857161925,0.9424038781731096,327.9062810000255,357.15654099999483,29.25025999996933,1.0892031098360297,0.0,84.6,84.6,0.0,0.0,0.0,2,cold_first,0
matched_unique_prefix_out8_n2_isolated_rep00,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,0,0,0,596.5,1209,1209,61.439868744781876,60.135550265977464,-1.3043184788044115,0.9787708127401364,111.7434669999966,114.91076400000111,3.1672970000045098,1.0283443594962434,259.8398019999877,265.60812700000724,5.7683250000195585,1.022199543548066,24.56929614286147,24.944123857145378,0.3748277142839065,1.0152559402639953,260.4172229999904,266.06557899998506,5.648355999994692,1.0216896407039673,0.0,1.3,1.3,0.0,0.0,0.0,3,cold_first,0
matched_unique_prefix_out8_n4_isolated_rep00,matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,0,0,0,596.5,2418,2418,78.91630940185108,120.94558874530665,42.02927934345557,1.5325803963973728,278.367669999966,131.11882700002297,-147.248842999943,0.47102749755400475,404.95042700001704,263.85878499996807,-141.09164200004898,0.6515829281986582,20.52222214285848,21.18516185713913,0.6629397142806468,1.0323035054228444,405.4928599999812,264.58178699999735,-140.91107299998384,0.6524943176558266,0.0,2.0,2.0,0.0,0.0,0.0,4,cold_first,0
matched_unique_prefix_out8_n8_isolated_rep00,matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,0,0,0,595.625,4829,4829,188.23820738071063,175.7692768980978,-12.468930482612848,0.9337598319909916,196.29981100001714,218.3997129999966,22.099901999979465,1.112582390616655,339.32371200000944,363.37201200001346,24.04830000000402,1.070871262896014,29.427607000002354,28.599991999994604,-0.82761500000775,0.9718762385263714,339.9947380000299,364.1136900000106,24.11895199998071,1.0709391920059028,0.0,2.4,2.4,0.0,0.0,0.0,5,cold_first,0
shared_prefix_long_out8_n2_isolated_rep01,shared_prefix_long_out8_n2,shared_prefix_long,2,8,1,0,0,580.5,1177,1177,61.90215263690991,62.05340022423439,0.15124758732447674,1.002443333242571,105.86624299997993,109.91460900004313,4.048366000063197,1.038240386031872,258.0144789999963,257.3955799999794,-0.6188990000168815,0.9976013012819451,24.626572285715806,23.975749142859318,-0.6508231428564883,0.9735723211778853,258.47243300000855,257.8424379998978,-0.6299950001107391,0.9975626220839159,0.0,48.2,48.2,0.0,0.0,0.0,6,cold_first,0
shared_prefix_long_out8_n4_isolated_rep01,shared_prefix_long_out8_n4,shared_prefix_long,4,8,1,0,0,580.5,2354,2354,127.48178856914298,116.50462517719052,-10.977163391952459,0.9138923016757118,127.62537000003249,121.204898999963,-6.420471000069483,0.9496928314482627,250.49252999997407,274.0985839999439,23.606053999969845,1.094238554738428,20.624540714282244,24.985185857141396,4.360645142859152,1.211429927253578,251.0162460000629,274.66720699999314,23.65096099993025,1.0942208378015674,0.0,72.4,72.4,0.0,0.0,0.0,7,cold_first,0
shared_prefix_long_out8_n8_isolated_rep01,shared_prefix_long_out8_n8,shared_prefix_long,8,8,1,0,0,579.5,4700,4700,160.76258859238095,171.76964075465457,11.007052162273624,1.0684677464990464,235.3560669999979,191.39313900006982,-43.96292799992807,0.8132067358181658,397.08494300009534,371.5817080000079,-25.503235000087443,0.9357738553182025,31.463918428568963,28.728114857131004,-2.735803571437959,0.9130494958010738,398.1025719999707,372.59203500002513,-25.510536999945543,0.9359196880547975,0.0,84.6,84.6,0.0,0.0,0.0,8,cold_first,0
matched_unique_prefix_out8_n2_isolated_rep01,matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,1,0,0,596.5,1209,1209,44.48819685595207,57.52337136830882,13.035174512356754,1.2930029858158385,139.9564509999891,120.13454699990689,-19.821904000082213,0.8583709156780222,359.03021399997215,277.66603199995643,-81.36418200001572,0.773377897382135,34.5600507142925,25.48341542857153,-9.076635285720972,0.7373662625452317,359.64595400002963,278.14781399990807,-81.49814000012157,0.7733934190175407,0.0,1.3,1.3,0.0,0.0,0.0,9,cold_first,0
matched_unique_prefix_out8_n4_isolated_rep01,matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,1,0,0,596.5,2418,2418,132.1018408924219,131.22515313240478,-0.8766877600171199,0.9933635462299798,114.86167099997147,119.58767500004797,4.7260040000765,1.0411451788828465,241.7167139999492,243.3490210000855,1.6323070001362794,1.0067529753037128,21.15378957142054,20.77997100000825,-0.3738185714122899,0.9823285293563981,242.23735099997157,243.85568799993962,1.6183369999680508,1.006680790527503,0.0,2.0,2.0,0.0,0.0,0.0,10,cold_first,0
matched_unique_prefix_out8_n8_isolated_rep01,matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,1,0,0,595.625,4829,4829,188.08112678388088,159.25985495378623,-28.821271830094645,0.8467614889227434,200.00514200000907,240.98498300008941,40.97984100008034,1.2048939371772676,339.62290399995254,401.23919000006936,61.616286000116816,1.181425590778546,29.54683828571498,31.666511857143373,2.119673571428393,1.0717394379368568,340.27869300007296,401.8589620000057,61.58026899993274,1.1809700997056538,0.0,2.4,2.4,0.0,0.0,0.0,11,cold_first,0
