pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio
matched_unique_prefix_out32_n1_rep00,matched_unique_prefix_out32_n1,matched_unique_prefix,1,32,0,3,3,595.0,627,627,27.251656725296705,45.90719002211869,18.655533296821986,1.6845651068070568,544.3157310000117,76.77679500000067,-467.53893600001106,0.14105194949803687,1174.052297000003,696.8594070000051,-477.19288999999776,0.5935505673645503,20.314082774193263,20.002664903225952,-0.3114178709673112,0.9846698532033682,1174.240535999985,697.0585649999919,-477.18197099999315,0.5936250228377405
matched_unique_prefix_out32_n1_rep01,matched_unique_prefix_out32_n1,matched_unique_prefix,1,32,1,18,18,595.0,627,627,49.42149117513217,47.430427818249136,-1.991063356883032,0.9597126005399673,43.14868500000557,46.81633600000623,3.66765100000066,1.085000296069282,647.300346999998,674.4594460000144,27.15909900001634,1.0419574917978784,19.48876329032234,20.246551935484135,0.7577886451617957,1.0388833623700533,647.4915919999944,674.6723880000047,27.180796000010332,1.0419786084264868
matched_unique_prefix_out32_n1_rep02,matched_unique_prefix_out32_n1,matched_unique_prefix,1,32,2,11,11,595.0,627,627,44.87582012138813,50.10847341394462,5.232653292556492,1.116602956300348,48.73446100000933,43.34126999998489,-5.393191000024444,0.8893351667514408,712.8722970000183,638.4422349999852,-74.4300620000331,0.8955913109356932,21.423801161290612,19.196805322580655,-2.226995838709957,0.8960503870464508,713.0788900000198,638.6145460000137,-74.46434400000612,0.895573484162455
matched_unique_prefix_out32_n2_rep00,matched_unique_prefix_out32_n2,matched_unique_prefix,2,32,0,14,14,596.5,1257,1257,85.28802333177404,80.4788469260415,-4.8091764057325435,0.9436125235658863,67.93763500002115,65.2750109999829,-2.6626240000382495,0.9608078202893371,750.164581000007,795.0070830000016,44.84250199999451,1.0597768851472795,22.62045941935478,24.132022999999258,1.5115635806444772,1.0668228506159843,750.3984440000124,795.2400220000015,44.84157799998911,1.059757024229635
matched_unique_prefix_out32_n2_rep01,matched_unique_prefix_out32_n2,matched_unique_prefix,2,32,1,8,8,596.5,1257,1257,86.6669397036402,95.4110389626935,8.7440992590533,1.100893135132658,68.96747499999378,65.93681499998638,-3.0306600000074013,0.9560566774409579,738.1211940000014,670.5619709999837,-67.55922300001771,0.9084713681856186,22.190796096774722,20.089989903225607,-2.100806193549115,0.9053298410571916,738.4592119999809,670.7819209999855,-67.67729099999542,0.9083533797124639
matched_unique_prefix_out32_n2_rep02,matched_unique_prefix_out32_n2,matched_unique_prefix,2,32,2,13,13,596.5,1257,1257,91.64085117637971,94.42472250510365,2.783871328723933,1.0303780605809287,67.07965799998306,66.91473899999778,-0.16491899998527515,0.9975414454261929,698.1440950000035,677.5445890000071,-20.59950599999638,0.9704939049867688,20.97157332258073,20.285717967741704,-0.6858553548390276,0.9672959513199448,698.3784979999825,677.7885950000098,-20.589902999972765,0.9705175588038032
matched_unique_prefix_out32_n4_rep00,matched_unique_prefix_out32_n4,matched_unique_prefix,4,32,0,17,17,596.5,2514,2514,186.00179279572237,179.82307898453732,-6.178713811185048,0.9667814287254163,68.11833899999442,70.550690999994,2.4323519999995824,1.0357077409065976,687.8654369999992,711.4999490000002,23.634512000000996,1.0343592085438666,20.598232999999812,21.297795774193027,0.6995627741932147,1.0339622711420549,688.1654099999821,711.8107459999976,23.645336000015504,1.0343599600567197
matched_unique_prefix_out32_n4_rep01,matched_unique_prefix_out32_n4,matched_unique_prefix,4,32,1,15,15,596.5,2514,2514,185.5294894804125,178.17428956387675,-7.355199916535753,0.9603556289777195,67.67272999999818,72.11931599999843,4.446586000000252,1.0657072058420043,689.6270289999791,718.0803489999903,28.453320000011217,1.0412589976951325,20.693729903225375,21.474844967741546,0.7811150645161717,1.0377464607960514,689.917276000017,718.3977010000149,28.480424999997922,1.041280927425272
matched_unique_prefix_out32_n4_rep02,matched_unique_prefix_out32_n4,matched_unique_prefix,4,32,2,9,9,596.5,2514,2514,129.87348541833228,185.4226382956839,55.54915287735162,1.427717425912022,327.1649840000066,70.01435499998365,-257.15062900002295,0.2140032045727187,985.2566140000079,689.9894219999965,-295.2671920000114,0.700314427932367,21.99418683870964,20.58720716129044,-1.4069796774192014,0.9360294750727985,985.5745349999836,690.3148460000068,-295.2596889999768,0.7004187116096889
matched_unique_prefix_out32_n8_rep00,matched_unique_prefix_out32_n8,matched_unique_prefix,8,32,0,6,6,595.625,5021,5021,344.31401106406383,357.5686966182818,13.254685554217986,1.0384959226993287,111.10667599999147,75.09847500000433,-36.00820099998714,0.6759132547535676,743.079071000011,715.5120760000102,-27.566995000000816,0.9629016667594983,22.36355470967789,21.346576032258216,-1.0169786774196723,0.9545251776552512,743.5073560000092,715.9463410000058,-27.561015000003408,0.962931079595125
matched_unique_prefix_out32_n8_rep01,matched_unique_prefix_out32_n8,matched_unique_prefix,8,32,1,20,20,595.625,5021,5021,336.1138169403928,345.86572986808324,9.751912927690455,1.0290137222458184,115.21693699998536,76.44843599999263,-38.76850099999274,0.663517343808596,761.2346340000045,739.7598569999957,-21.47477700000877,0.9717895428809291,22.87795299999989,22.095226548387817,-0.7827264516120742,0.965786866875193,761.6467610000086,740.1716269999952,-21.47513400001344,0.9718043388357386
matched_unique_prefix_out32_n8_rep02,matched_unique_prefix_out32_n8,matched_unique_prefix,8,32,2,2,2,595.625,5021,5021,357.53595265969125,361.8080790599312,4.272126400239927,1.0119488022629886,77.967024000003,73.80940999999552,-4.15761400000747,0.9466747121192248,715.6070149999891,707.1322969999869,-8.474718000002213,0.9881573016720604,21.410095903224974,21.12142800000026,-0.28866790322471303,0.9865172064371168,716.0119090000023,707.557444999992,-8.454464000010375,0.9881922857794111
shared_prefix_long_out32_n1_rep00,shared_prefix_long_out32_n1,shared_prefix_long,1,32,0,7,7,580.0,612,612,47.43731069335241,48.648849062185896,1.2115383688334873,1.0255397776797508,44.53806000000782,47.423695000020416,2.8856350000125985,1.0647903164172865,674.3920700000103,657.5915479999992,-16.800522000011142,0.9750879010187488,20.31787129032266,19.68283396774125,-0.635037322581411,0.9687448889941597,674.5744969999805,657.7750679999781,-16.79942900000242,0.9750962583454991
shared_prefix_long_out32_n1_rep01,shared_prefix_long_out32_n1,shared_prefix_long,1,32,1,19,19,580.0,612,612,47.60979792799574,46.71054271633707,-0.8992552116586694,0.9811119716782103,47.58596799999282,45.61988999998334,-1.9660780000094746,0.9586836606957376,671.9538289999889,684.8941169999989,12.940288000010014,1.0192577040884907,20.140898741935356,20.62174925806502,0.4808505161296637,1.0238743326348434,672.1305569999743,685.070182000004,12.939625000029764,1.0192516541098582
shared_prefix_long_out32_n1_rep02,shared_prefix_long_out32_n1,shared_prefix_long,1,32,2,5,5,580.0,612,612,49.50857701363394,50.13605900190616,0.6274819882722227,1.0126742077054531,44.76762800001666,43.40048000000252,-1.36714800001414,0.9694612365878837,646.1804890000167,638.0714539999985,-8.109035000018139,0.9874508204161857,19.400414870967744,19.18293464516116,-0.21748022580658244,0.9887899188108582,646.3526510000008,638.2631710000055,-8.08947999999532,0.9874844173881244
shared_prefix_long_out32_n2_rep00,shared_prefix_long_out32_n2,shared_prefix_long,2,32,0,22,22,580.5,1225,1225,82.21065626190172,93.31868717923331,11.10803091733159,1.1351166797883756,78.94144599998754,67.40127599999823,-11.540169999989303,0.8538135468155584,778.2340950000162,685.6067440000118,-92.62735100000441,0.8809775212945373,23.05818835483911,20.538652612903125,-2.519535741935986,0.8907314094601355,778.4878859999935,685.8219070000189,-92.66597899997464,0.880966703957195
shared_prefix_long_out32_n2_rep01,shared_prefix_long_out32_n2,shared_prefix_long,2,32,1,4,4,580.5,1225,1225,92.5268021809582,94.69374612479662,2.166943943838419,1.0234196350977358,69.78407100001505,67.29719800000566,-2.486873000009382,0.9643633143728625,691.4726159999987,675.6482100000198,-15.824405999978808,0.9771149201952217,20.691815387096774,20.21779687096763,-0.4740185161291457,0.9770914969391841,691.6914720000022,675.8630070000038,-15.82846499999846,0.9771162929705769
shared_prefix_long_out32_n2_rep02,shared_prefix_long_out32_n2,shared_prefix_long,2,32,2,21,21,580.5,1225,1225,85.28999316644868,93.40913383350669,8.119140667058005,1.0951945282867241,67.40608199999087,65.5808299999876,-1.8252520000032746,0.9729215532805553,750.1417189999984,684.9186930000144,-65.22302599998397,0.913052394836896,22.629241935483666,20.561131612903374,-2.068110322580292,0.9086089437517832,750.3811129999747,685.1578360000019,-65.22327699997277,0.9130797992246709
shared_prefix_long_out32_n4_rep00,shared_prefix_long_out32_n4,shared_prefix_long,4,32,0,16,16,580.5,2450,2450,180.6106870069598,179.12890807130532,-1.4817789356544893,0.9917957294764214,67.2009179999975,71.25552300001914,4.054605000021638,1.0603355597020534,708.3925199999896,714.2786299999955,5.886110000005829,1.0083091080634305,21.299075322580787,21.378016354838515,0.07894103225772753,1.0037063126479504,708.7066779999986,714.569197000003,5.86251900000434,1.008272137376423
shared_prefix_long_out32_n4_rep01,shared_prefix_long_out32_n4,shared_prefix_long,4,32,1,0,0,580.5,2450,2450,165.1561410737565,178.38680295881068,13.23066188505419,1.0801100207296896,71.83252300001186,71.8431439999847,0.010620999972843492,1.0001478578160599,774.6992019999936,717.221257999995,-57.477943999998615,0.9258061143581776,23.329012516129414,21.457881741935676,-1.8711307741937375,0.9197938286972044,775.0241630000119,717.5418690000015,-57.48229400001037,0.925831610491337
shared_prefix_long_out32_n4_rep02,shared_prefix_long_out32_n4,shared_prefix_long,4,32,2,10,10,580.5,2450,2450,162.62390189623432,187.49321444845305,24.86931255221873,1.1529253219375288,75.9264559999906,67.60600100000147,-8.320454999989124,0.8904142845809877,786.5528600000005,682.3777810000138,-104.17507899998668,0.8675548913521379,23.65787570967783,20.43212832258097,-3.2257473870968596,0.8636501676362561,787.0921710000118,682.6913730000115,-104.40079800000035,0.867358866157495
