scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_mean,estimated_peak_sequence_tokens_median,cold_output_tokens_per_second_median,prefix_output_tokens_per_second_median,output_tokens_per_second_delta,output_tokens_per_second_ratio,cold_p95_first_chunk_ms_median,prefix_p95_first_chunk_ms_median,p95_first_chunk_ms_delta,p95_first_chunk_ms_ratio,cold_p95_latency_ms_median,prefix_p95_latency_ms_median,p95_latency_ms_delta,p95_latency_ms_ratio,cold_p95_stream_tpot_ms_median,prefix_p95_stream_tpot_ms_median,p95_stream_tpot_ms_delta,p95_stream_tpot_ms_ratio,cold_throughput_cv,prefix_throughput_cv,cold_latency_cv,prefix_latency_cv
shared_prefix_out32_n1,shared_prefix,1,32,226.0,258.0,49.559097489187415,47.46539317095858,-2.0937043182288377,0.9577533808260807,41.09077700002217,43.940544000008686,2.849766999986514,1.069352959667445,645.4921680000041,673.9802840000095,28.488116000005448,1.0441339452471952,19.545888290322512,20.323862580645187,0.7779742903226747,1.0398024525039296,0.017088018234029726,0.04957675390472414,0.01690076406261491,0.0501429790881554
shared_prefix_out32_n2,shared_prefix,2,32,226.5,517.0,92.64082036897148,91.97860096578336,-0.6622194031881179,0.9928517536810381,68.1888889999982,67.73499199999833,-0.4538969999998699,0.9933435343109949,690.5381560000023,695.5878759999905,5.049719999988156,1.0073127313184822,20.57611835483851,20.90613012903246,0.3300117741939488,1.0160385826181033,0.25511598818270276,0.2746234031003524,0.31113242061786023,0.34085944441068994
shared_prefix_out32_n4,shared_prefix,4,32,226.5,1034.0,191.99004397228924,184.34739030575554,-7.642653666533704,0.9601924479602869,66.51174399999604,68.05813600001898,1.5463920000229336,1.0232499090690363,666.3825459999941,694.0344019999998,27.651856000005637,1.041495468580304,19.987780419354852,20.829313161290347,0.8415327419354952,1.0421023607564055,0.01844766338885928,0.007537378493102452,0.01836091844961123,0.0076455454426272275
shared_prefix_out32_n8,shared_prefix,8,32,225.5,2043.0,346.43797697633363,342.8427758390236,-3.5952011373100277,0.9896223815625282,69.13786499998764,71.92501099999049,2.787146000002849,1.0403128734160847,689.4914540000059,696.7400929999883,7.248638999982404,1.0105130222541994,20.66539180645115,20.946248214284783,0.28085640783363175,1.0135906645498953,0.028503172836446676,0.0394905485971917,0.02797535313980284,0.04005544173406673
