phase_order,prompt_profile,metric,trial_count,mean,min,max,median,p95,cv,bootstrap_mean_p05,bootstrap_mean_p50,bootstrap_mean_p95
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_output_tokens_per_second,2,322.8952588384509,251.70833524679975,394.082182430102,251.70833524679975,394.082182430102,0.22046444363330517,251.70833524679975,322.8952588384509,394.082182430102
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_output_tokens_per_second,2,10.82121526565211,8.72407629520723,12.918354236096993,8.72407629520723,12.918354236096993,0.19379884042243048,8.72407629520723,10.82121526565211,12.918354236096993
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_latency_ms,2,-7048.885249500017,-7141.005057000001,-6956.7654420000335,-7141.005057000001,-6956.7654420000335,0.013068705793801646,-7141.005057000001,-7048.885249500017,-6956.7654420000335
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_latency_ms,2,0.09552547812077758,0.07701413939146581,0.11403681685008935,0.07701413939146581,0.11403681685008935,0.1937843085789842,0.07701413939146581,0.09552547812077758,0.11403681685008935
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_first_content_ms,2,-7032.347157000004,-7139.592093999994,-6925.102220000014,-7139.592093999994,-6925.102220000014,0.01525023361414094,-7139.592093999994,-7032.347157000004,-6925.102220000014
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_first_content_ms,2,0.07764797941325531,0.055811290123133885,0.09948466870337673,0.055811290123133885,0.09948466870337673,0.28122675509562167,0.055811290123133885,0.07764797941325531,0.09948466870337673
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_stream_tpot_ms,2,-463.0861603571443,-465.6214219999982,-460.5508987142904,-465.6214219999982,-460.5508987142904,0.005474708293805705,-465.6214219999982,-463.0861603571443,-460.5508987142904
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_stream_tpot_ms,2,0.045149064613045124,0.038639455933927834,0.051658673292162414,0.038639455933927834,0.051658673292162414,0.14418036641309373,0.038639455933927834,0.045149064613045124,0.051658673292162414
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_batch_wall_ms,2,-7049.134019500003,-7142.965543000003,-6955.302496000002,-7142.965543000003,-6955.302496000002,0.013311071011053915,-7142.965543000003,-7049.134019500003,-6955.302496000002
async_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_batch_wall_ms,2,0.09601727851689498,0.0774092412798032,0.11462531575398678,0.0774092412798032,0.11462531575398678,0.19379884042243045,0.0774092412798032,0.09601727851689498,0.11462531575398678
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_output_tokens_per_second,2,335.62132977632064,334.4364413552012,336.80621819744,334.4364413552012,336.80621819744,0.0035304324129490426,334.4364413552012,335.62132977632064,336.80621819744
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_output_tokens_per_second,2,11.307850028062703,11.222186788276419,11.393513267848986,11.222186788276419,11.393513267848986,0.007575554997076632,11.222186788276419,11.307850028062703,11.393513267848986
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_latency_ms,2,-7165.846368500013,-7203.989528000023,-7127.703209000003,-7203.989528000023,-7127.703209000003,0.005322910587042659,-7203.989528000023,-7165.846368500013,-7127.703209000003
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_latency_ms,2,0.08790766368476324,0.08740552978758054,0.08840979758194593,0.08740552978758054,0.08840979758194593,0.005712060543246258,0.08740552978758054,0.08790766368476324,0.08840979758194593
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_first_content_ms,2,-7104.782496500007,-7142.6564570000155,-7066.908536,-7142.6564570000155,-7066.908536,0.005330769874892786,-7142.6564570000155,-7104.782496500007,-7066.908536
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_first_content_ms,2,0.07610518365486132,0.0753842104264208,0.07682615688330185,0.0753842104264208,0.07682615688330185,0.009473378734754252,0.0753842104264208,0.07610518365486132,0.07682615688330185
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_stream_tpot_ms,2,-470.39647635714385,-476.1332584285713,-464.6596942857164,-476.1332584285713,-464.6596942857164,0.012195631472102824,-476.1332584285713,-470.39647635714385,-464.6596942857164
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_stream_tpot_ms,2,0.03140662856116638,0.02913630859170806,0.0336769485306247,0.02913630859170806,0.0336769485306247,0.07228792371128694,0.02913630859170806,0.03140662856116638,0.0336769485306247
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_batch_wall_ms,2,-7167.015316999979,-7206.542488999987,-7127.488144999973,-7206.542488999987,-7127.488144999973,0.005515151042896397,-7206.542488999987,-7167.015316999979,-7127.488144999973
async_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_batch_wall_ms,2,0.08843921610609978,0.08776923996058968,0.08910919225160989,0.08776923996058968,0.08910919225160989,0.007575554997076658,0.08776923996058968,0.08843921610609978,0.08910919225160989
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_output_tokens_per_second,2,347.5908235099632,300.6556055437851,394.52604147614124,300.6556055437851,394.52604147614124,0.13503008362599292,300.6556055437851,347.5908235099632,394.52604147614124
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_output_tokens_per_second,2,12.090703435054,11.031857218779159,13.14954965132884,11.031857218779159,13.14954965132884,0.08757523678936482,11.031857218779159,12.090703435054,13.14954965132884
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_latency_ms,2,-7522.616570999986,-7763.585176999981,-7281.64796499999,-7763.585176999981,-7281.64796499999,0.03203255193531195,-7763.585176999981,-7522.616570999986,-7281.64796499999
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_latency_ms,2,0.08295280129415439,0.07566322616486358,0.09024237642344518,0.07566322616486358,0.09024237642344518,0.08787617796584875,0.07566322616486358,0.08295280129415439,0.09024237642344518
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_first_content_ms,2,-7522.9478290000025,-7771.6179239999965,-7274.277734000009,-7771.6179239999965,-7274.277734000009,0.033054874319532315,-7771.6179239999965,-7522.9478290000025,-7274.277734000009
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_first_content_ms,2,0.06375921899130776,0.05442910327354736,0.07308933470906818,0.05442910327354736,0.07308933470906818,0.14633359481759617,0.05442910327354736,0.06375921899130776,0.07308933470906818
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_stream_tpot_ms,2,-481.63811292857065,-492.3434294285707,-470.93279642857055,-492.3434294285707,-470.93279642857055,0.022226888223000157,-492.3434294285707,-481.63811292857065,-470.93279642857055
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_stream_tpot_ms,2,0.04777563178401394,0.0443723804712175,0.05117888309681039,0.0443723804712175,0.05117888309681039,0.07123404098938982,0.0443723804712175,0.04777563178401394,0.05117888309681039
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_batch_wall_ms,2,-7525.813010000022,-7767.561709999995,-7284.064310000048,-7767.561709999995,-7284.064310000048,0.03212260252530152,-7767.561709999995,-7525.813010000022,-7284.064310000048
server_first,matched_unique_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_batch_wall_ms,2,0.08334740010366948,0.07604823180381269,0.09064656840352626,0.07604823180381269,0.09064656840352626,0.08757523678936485,0.07604823180381269,0.08334740010366948,0.09064656840352626
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_output_tokens_per_second,2,399.76728861974755,365.4889218750699,434.0456553644253,365.4889218750699,434.0456553644253,0.08574580192148425,365.4889218750699,399.76728861974755,434.0456553644253
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_output_tokens_per_second,2,13.84098771092263,12.304863596869746,15.377111824975515,12.304863596869746,15.377111824975515,0.11098370623078081,12.304863596869746,13.84098771092263,15.377111824975515
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_latency_ms,2,-7597.710941499983,-7923.388542999987,-7272.033339999978,-7923.388542999987,-7272.033339999978,0.04286522664623872,-7923.388542999987,-7597.710941499983,-7272.033339999978
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_latency_ms,2,0.07280923123016902,0.06464986800678832,0.08096859445354974,0.06464986800678832,0.08096859445354974,0.1120649550272936,0.06464986800678832,0.07280923123016902,0.08096859445354974
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_first_content_ms,2,-7543.001422999992,-7866.554418999982,-7219.448427000003,-7866.554418999982,-7219.448427000003,0.04289446307320281,-7866.554418999982,-7543.001422999992,-7219.448427000003
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_first_content_ms,2,0.06115856116646694,0.0524545474067625,0.06986257492617137,0.0524545474067625,0.06986257492617137,0.14231881185061004,0.0524545474067625,0.06115856116646694,0.06986257492617137
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_p95_stream_tpot_ms,2,-491.4807345714293,-506.93971657142765,-476.02175257143097,-506.93971657142765,-476.02175257143097,0.03145389211131248,-506.93971657142765,-491.4807345714293,-476.02175257143097
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_p95_stream_tpot_ms,2,0.030321036824005096,0.029170989564574343,0.031471084083435845,0.029170989564574343,0.031471084083435845,0.03792902156037952,0.029170989564574343,0.030321036824005096,0.031471084083435845
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_minus_off_server_batch_wall_ms,2,-7601.473916999979,-7928.172311999987,-7274.775521999971,-7928.172311999987,-7274.775521999971,0.04297829586304019,-7928.172311999987,-7601.473916999979,-7274.775521999971
server_first,shared_prefix_mega_long_no_repeat_variant,cache_on_div_off_server_batch_wall_ms,2,0.07315019810674975,0.0650317180093468,0.08126867820415268,0.0650317180093468,0.08126867820415268,0.11098370623078087,0.0650317180093468,0.07315019810674975,0.08126867820415268
