scenario_id,prompt_profile,request_count,max_new_tokens,runs,prompt_tokens_mean,cold_prefix_cache_hit_rate_pct_mean,cold_prefix_cache_hit_rate_pct_min,cold_prefix_cache_hit_rate_pct_max,cold_prefix_cache_hit_rate_pct_population_stdev,cache_prefix_cache_hit_rate_pct_mean,cache_prefix_cache_hit_rate_pct_min,cache_prefix_cache_hit_rate_pct_max,cache_prefix_cache_hit_rate_pct_population_stdev,cache_to_cold_prefix_cache_hit_rate_pct_delta_mean,cache_to_cold_prefix_cache_hit_rate_pct_delta_min,cache_to_cold_prefix_cache_hit_rate_pct_delta_max,cache_to_cold_prefix_cache_hit_rate_pct_delta_population_stdev,cache_to_cold_output_tokens_per_second_ratio_mean,cache_to_cold_output_tokens_per_second_ratio_min,cache_to_cold_output_tokens_per_second_ratio_max,cache_to_cold_output_tokens_per_second_ratio_population_stdev,cache_to_cold_p95_latency_ms_ratio_mean,cache_to_cold_p95_latency_ms_ratio_min,cache_to_cold_p95_latency_ms_ratio_max,cache_to_cold_p95_latency_ms_ratio_population_stdev,cache_to_cold_p95_stream_tpot_ms_ratio_mean,cache_to_cold_p95_stream_tpot_ms_ratio_min,cache_to_cold_p95_stream_tpot_ms_ratio_max,cache_to_cold_p95_stream_tpot_ms_ratio_population_stdev
matched_unique_prefix_out8_n2,matched_unique_prefix,2,8,2,596.5,0.0,0.0,0.0,0.0,1.3,1.3,1.3,0.0,1.3,1.3,1.3,0.0,1.1358868992779874,0.9787708127401364,1.2930029858158385,0.15711608653785103,0.8977887204651005,0.773377897382135,1.022199543548066,0.12441082308296547,0.8763111014046135,0.7373662625452317,1.0152559402639953,0.1389448388593818
matched_unique_prefix_out8_n4,matched_unique_prefix,4,8,2,596.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.2629719713136762,0.9933635462299798,1.5325803963973728,0.2696084250836965,0.8291679517511854,0.6515829281986582,1.0067529753037128,0.1775850235525273,1.0073160173896212,0.9823285293563981,1.0323035054228444,0.02498748803322315
matched_unique_prefix_out8_n8,matched_unique_prefix,8,8,2,595.625,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.0,2.4,2.4,2.4,0.0,0.8902606604568675,0.8467614889227434,0.9337598319909916,0.04349917153412408,1.12614842683728,1.070871262896014,1.181425590778546,0.05527716394126603,1.021807838231614,0.9718762385263714,1.0717394379368568,0.04993159970524269
shared_prefix_long_out8_n2,shared_prefix_long,2,8,2,580.5,0.0,0.0,0.0,0.0,48.2,48.2,48.2,0.0,48.2,48.2,48.2,0.0,2.880189308103718,1.002443333242571,4.757935282964866,1.8777459748611474,0.6037794539388892,0.2099576065958334,0.9976013012819451,0.39382184734305586,0.6234391150130651,0.2733059088482451,0.9735723211778853,0.3501332061648201
shared_prefix_long_out8_n4,shared_prefix_long,4,8,2,580.5,0.0,0.0,0.0,0.0,72.4,72.4,72.4,0.0,72.4,72.4,72.4,0.0,0.9146689399908678,0.9138923016757118,0.915445578306024,0.0007766383151561196,1.0930513957992334,1.0918642368600386,1.094238554738428,0.0011871589391946324,1.1069646775421536,1.002499427830729,1.211429927253578,0.10446524971142446
shared_prefix_long_out8_n8,shared_prefix_long,8,8,2,579.5,0.0,0.0,0.0,0.0,84.6,84.6,84.6,0.0,84.6,84.6,84.6,0.0,0.9932850781944584,0.9181024098898704,1.0684677464990464,0.07518266830458803,1.0125159766810476,0.9357738553182025,1.0892580980438926,0.07674212136284508,0.9277266869870917,0.9130494958010738,0.9424038781731096,0.014677191186017902
